learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.076134,8.853710070252418E-10,100.0,95.0,87.98076923076921,49.99999999999994,82.75862068965516,100.0,44952.0
200.0,0.119102,1.385050800939401E-9,200.0,94.0,87.94212218649517,29.41176470588226,86.20689655172413,200.0,44952.0
300.0,0.152661,1.7753122560679913E-9,300.0,94.33333333333334,88.45422439554468,46.875000000000036,86.5079365079365,300.0,44952.0
400.0,0.193283,2.2477101472516853E-9,400.0,93.75,87.4655302080722,69.87951807228916,86.77248677248677,400.0,44952.0
500.0,0.223696,2.6013864080111184E-9,500.0,93.8,87.55859500417388,76.69172932330825,86.80851063829786,500.0,44952.0
600.0,0.251371,2.9232221531371276E-9,600.0,93.33333333333333,86.37911464245175,77.01149425287358,84.61538461538461,600.0,44952.0
700.0,0.288425,3.3541273636122544E-9,700.0,92.0,83.64417741060626,75.6521739130435,81.75895765472315,700.0,44952.0
800.0,0.319355,3.7138158765931923E-9,800.0,92.0,83.74241895024292,77.93103448275863,82.17270194986072,800.0,44952.0
900.0,0.349097,4.059689001490673E-9,900.0,92.33333333333333,84.41030275643922,80.0578034682081,82.87841191066998,900.0,44952.0
1000.0,0.375905,4.371442304303249E-9,1000.0,92.2,84.26499364547821,80.45112781954889,83.22580645161291,1000.0,44952.0
1100.0,0.398884,4.638667727510134E-9,1100.0,92.10000000000001,83.96108431191023,82.4053452115813,83.91038696537679,1100.0,44952.0
1200.0,0.422734,4.9160221094886455E-9,1200.0,91.60000000000001,83.0519417632437,83.30019880715707,82.53638253638255,1200.0,44952.0
1300.0,0.448868,5.219937389095623E-9,1300.0,91.0,81.82082606166377,83.30241187384046,82.03592814371258,1300.0,44952.0
1400.0,0.477151,5.548843635867038E-9,1400.0,90.4,80.72784505187423,82.22222222222221,80.52738336713996,1400.0,44952.0
1500.0,0.503145,5.851130839437245E-9,1500.0,90.10000000000001,80.20047518859548,81.90127970749545,80.23952095808383,1500.0,44952.0
1600.0,0.525858,6.1152629181742656E-9,1600.0,89.9,79.74116835289682,81.86714542190306,80.9433962264151,1600.0,44952.0
1700.0,0.548928,6.3835465908050526E-9,1700.0,90.5,80.89515259745484,82.97491039426524,82.0754716981132,1700.0,44952.0
1800.0,0.573439,6.668587817500034E-9,1800.0,89.1,78.05056826877382,80.00000000000001,78.91682785299807,1800.0,44952.0
