learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.003105,5.462206900119781E-13,100.0,46.0,-8.30324909747291,-7.9999999999999964,-22.727272727272737,100.0,680.0
200.0,0.008709,1.5320566793282827E-12,200.0,48.5,-6.426947716470349,-6.185567010309284,-24.096385542168665,200.0,680.0
300.0,0.010971,1.929979771375656E-12,300.0,51.0,-3.7549407114624365,0.0,-15.748031496062989,300.0,680.0
400.0,0.013203,2.3226253688335417E-12,400.0,51.5,-3.0161427357689017,0.5128205128205247,-11.494252873563202,400.0,680.0
500.0,0.015105,2.6572185258070627E-12,500.0,52.6,-2.1692647261691187,4.81927710843374,-9.216589861751133,500.0,680.0
600.0,0.016784,2.9525823063320583E-12,600.0,53.166666666666664,-1.7305046701904299,4.421768707482983,-7.662835249042144,600.0,680.0
700.0,0.018623,3.276092724667655E-12,700.0,52.714285714285715,-1.6977421960040813,3.77906976744186,-6.430868167202575,700.0,680.0
800.0,0.019935,3.5068951547145845E-12,800.0,52.125,-1.6872651966705867,2.0460358056266004,-5.509641873278242,800.0,680.0
900.0,0.021148,3.720281852616204E-12,900.0,51.0,-1.7817577548005712,0.0,-4.750593824228036,900.0,680.0
1000.0,0.022603,3.976240340206358E-12,1000.0,51.300000000000004,-1.567518415630129,1.8145161290322596,-4.282655246252681,1000.0,680.0
1100.0,0.023771,4.181710796223747E-12,1100.0,51.800000000000004,-0.9411400066177176,1.2295081967213126,-2.118644067796612,1100.0,680.0
1200.0,0.024856,4.3725801838768855E-12,1200.0,51.7,0.0,1.226993865030676,0.0,1200.0,680.0
1300.0,0.025913,4.558523909913169E-12,1300.0,51.9,0.0,-0.4175365344467645,0.0,1300.0,680.0
1400.0,0.027057,4.759772370258968E-12,1400.0,51.0,0.0,-0.8230452674897127,0.0,1400.0,680.0
1500.0,0.02809,4.941494100623661E-12,1500.0,49.6,0.0,-6.329113924050639,-0.39840637450199234,1500.0,680.0
1600.0,0.028973,5.096828358040916E-12,1600.0,48.699999999999996,0.0,-6.6528066528066585,-1.5841584158415856,1600.0,680.0
1700.0,0.031061,5.4641419814692605E-12,1700.0,48.8,0.0,-7.112970711297077,-1.1857707509881432,1700.0,680.0
1800.0,0.031937,5.618244823482302E-12,1800.0,49.3,0.0,-5.845511482254703,0.0,1800.0,680.0
1900.0,0.032706,5.753524601459504E-12,1900.0,49.7,0.0,-4.140786749482405,-1.6161616161616175,1900.0,680.0
2000.0,0.033651,5.9197656810283665E-12,2000.0,49.1,0.0,-6.932773109243703,-2.4144869215291775,2000.0,680.0
2100.0,0.034464,6.062785784403483E-12,2100.0,47.9,0.0,-8.316008316008324,-6.9815195071868645,2100.0,680.0
2200.0,0.035165,6.18610324131118E-12,2200.0,48.0,0.0,-8.333333333333341,-6.557377049180333,2200.0,680.0
2300.0,0.036039,6.339854250351588E-12,2300.0,47.699999999999996,0.0,-7.17213114754099,-4.391217564870263,2300.0,680.0
2400.0,0.036915,6.493957092364629E-12,2400.0,49.0,0.0,-5.809128630705399,-1.5936254980079694,2400.0,680.0
2500.0,0.03765,6.6232557098070785E-12,2500.0,50.0,0.0,-3.9501039501039537,-0.20040080160320656,2500.0,680.0
2600.0,0.038386,6.752730243735844E-12,2600.0,50.5,0.0,-5.319148936170218,1.1976047904191627,2600.0,680.0
2700.0,0.039161,6.889065520630943E-12,2700.0,50.5,0.0,-5.543710021321966,0.8016032064128262,2700.0,680.0
2800.0,0.039812,7.003587153222826E-12,2800.0,49.4,0.0,-7.659574468085113,-2.8455284552845557,2800.0,680.0
2900.0,0.040449,7.115645955006282E-12,2900.0,49.7,0.0,-9.34782608695653,-1.6161616161616175,2900.0,680.0
3000.0,0.041139,7.237028330564499E-12,3000.0,49.7,0.0,-7.939914163090137,-2.0283975659229228,3000.0,680.0
3100.0,0.041744,7.343457804785834E-12,3100.0,51.800000000000004,0.0,-2.771855010660983,2.822580645161293,3100.0,680.0
3200.0,0.042345,7.449183613061905E-12,3200.0,50.3,0.0,-7.112068965517249,2.357563850687625,3200.0,680.0
3300.0,0.04311,7.583759725093842E-12,3300.0,49.9,0.0,-7.051282051282058,0.39761431411530856,3300.0,680.0
3400.0,0.043739,7.694411194986769E-12,3400.0,48.8,0.0,-9.168443496801714,-4.065040650406507,3400.0,680.0
3500.0,0.044361,7.80383124947548E-12,3500.0,49.4,0.0,-5.8577405857740645,-1.402805611222446,3500.0,680.0
3600.0,0.044958,7.908853391806285E-12,3600.0,49.4,0.0,-2.0161290322580663,-0.7968127490039847,3600.0,680.0
3700.0,0.04562,8.025310105747647E-12,3700.0,49.4,0.0,-1.402805611222446,-0.7968127490039847,3700.0,680.0
3800.0,0.046187,8.125054753488966E-12,3800.0,49.6,0.0,0.1980198019801982,-1.4084507042253533,3800.0,680.0
3900.0,0.046742,8.222688403394489E-12,3900.0,49.3,0.0,1.3618677042801568,-2.6315789473684235,3900.0,680.0
4000.0,0.0474,8.338441451390585E-12,4000.0,49.8,0.0,2.3346303501945544,-0.19960079840319378,4000.0,680.0
4100.0,0.048015,8.446630090475083E-12,4100.0,48.3,0.0,-2.5793650793650817,-2.5793650793650817,4100.0,680.0
4200.0,0.04858,8.546022905243768E-12,4200.0,50.0,0.0,3.288201160541589,-1.6260162601626031,4200.0,680.0
4300.0,0.049171,8.649989548656676E-12,4300.0,50.4,0.0,3.313840155945422,-1.6393442622950833,4300.0,680.0
4400.0,0.049704,8.743753035863241E-12,4400.0,50.7,0.0,5.374280230326301,0.0,4400.0,680.0
4500.0,0.050227,8.835757358206643E-12,4500.0,49.8,0.0,4.380952380952385,-3.933747412008285,4500.0,680.0
4600.0,0.050825,8.940955417023766E-12,4600.0,48.9,0.0,2.294455066921608,-8.033826638477809,4600.0,680.0
4700.0,0.051421,9.045801642868254E-12,4700.0,49.7,0.0,3.2692307692307723,-4.140786749482405,4700.0,680.0
4800.0,0.051955,9.139741046561135E-12,4800.0,50.5,0.0,4.807692307692312,-1.6427104722792623,4800.0,680.0
4900.0,0.052479,9.231921285390854E-12,4900.0,51.0,0.0,6.488549618320616,0.0,4900.0,680.0
5000.0,0.053087,9.338878509071138E-12,5000.0,51.7,0.0,6.395348837209308,-1.2578616352201268,5000.0,680.0
5100.0,0.053607,9.430355081955591E-12,5100.0,51.1,0.0,6.321839080459775,0.811359026369169,5100.0,680.0
5200.0,0.054099,9.51690599322319E-12,5200.0,50.4,0.0,5.343511450381684,-0.20202020202020218,5200.0,680.0
5300.0,0.054658,9.615243309073976E-12,5300.0,49.7,0.0,5.9813084112149495,-1.6161616161616175,5300.0,680.0
5400.0,0.055174,9.706016216013165E-12,5400.0,50.2,0.0,3.8610038610038644,-1.6326530612244914,5400.0,680.0
5500.0,0.055678,9.794678125116559E-12,5500.0,50.9,0.0,4.844961240310082,-1.4462809917355384,5500.0,680.0
5600.0,0.056213,9.888793445295757E-12,5600.0,51.800000000000004,0.0,5.859375000000004,1.6326530612244914,5600.0,680.0
5700.0,0.056707,9.975696189535987E-12,5700.0,51.1,0.0,4.305283757338556,-2.0876826722338224,5700.0,680.0
5800.0,0.057224,1.0066645012961491E-11,5800.0,50.5,0.0,1.980198019801982,-1.434426229508198,5800.0,680.0
5900.0,0.057812,1.017008390691545E-11,5900.0,50.2,0.0,0.5988023952095813,-1.4256619144602865,5900.0,680.0
6000.0,0.058362,1.0266837974389392E-11,6000.0,48.6,0.0,-0.39062500000000033,-3.838383838383842,6000.0,680.0
6100.0,0.058843,1.0351453804307512E-11,6100.0,49.6,0.0,3.6328871892925463,-4.347826086956526,6100.0,680.0
6200.0,0.059321,1.0435541884766682E-11,6200.0,50.5,0.0,4.990403071017279,-3.991596638655466,6200.0,680.0
6300.0,0.059843,1.052737029062377E-11,6300.0,50.8,0.0,3.529411764705885,-2.500000000000002,6300.0,680.0
6400.0,0.060285,1.0605125377575555E-11,6400.0,49.5,0.0,1.5594541910331396,-4.12371134020619,6400.0,680.0
6500.0,0.064655,1.1373880422777599E-11,6500.0,48.9,0.0,-0.39292730844793744,-3.651115618661261,6500.0,680.0
6600.0,0.065258,1.1479958064026302E-11,6600.0,48.3,0.0,-1.9723865877712048,-5.295315682281064,6600.0,680.0
6700.0,0.065717,1.1560703731245464E-11,6700.0,47.599999999999994,0.009541074324967942,-2.544031311154601,-7.597535934291589,6700.0,680.0
6800.0,0.066172,1.164074573251936E-11,6800.0,48.0,-0.694014128144747,-1.3645224171539971,-6.995884773662558,6800.0,680.0
6900.0,0.06673,1.1738907131883832E-11,6900.0,47.4,-2.2932354222415774,-1.1538461538461549,-8.677685950413231,6900.0,680.0
7000.0,0.067214,1.18240507112609E-11,7000.0,49.0,-2.0000000000000018,0.0,-2.6156941649899417,7000.0,680.0
7100.0,0.067748,1.1917990114953781E-11,7100.0,49.4,-1.9240685832151616,-0.9980039920159689,-2.8455284552845557,7100.0,680.0
7200.0,0.068233,1.2003309610817167E-11,7200.0,48.8,-2.037562577723927,-4.065040650406507,-5.133470225872695,7200.0,680.0
7300.0,0.068772,1.209812859694163E-11,7300.0,48.4,-2.1118956400595286,-5.306122448979597,-6.61157024793389,7300.0,680.0
7400.0,0.069237,1.217992976307869E-11,7400.0,49.9,-1.8276125591453796,-2.6639344262295106,-2.874743326488709,7400.0,680.0
7500.0,0.06968,1.2257860766516791E-11,7500.0,48.5,-2.0934105146300874,-5.532786885245907,-4.887983706720982,7500.0,680.0
7600.0,0.070182,1.2346170842647553E-11,7600.0,49.1,-1.9811184663963213,-4.517453798767971,-3.4552845528455314,7600.0,680.0
7700.0,0.07065,1.2428499758243562E-11,7700.0,49.4,-2.145870763267866,-3.688524590163938,-1.200000000000001,7700.0,680.0
7800.0,0.071093,1.2506430761681663E-11,7800.0,49.1,-1.995014467662163,-6.932773109243703,-3.245436105476676,7800.0,680.0
7900.0,0.071591,1.2594037171867159E-11,7900.0,49.8,-0.9779980609006016,-10.329670329670341,-2.868852459016396,7900.0,680.0
8000.0,0.072036,1.2672320008277894E-11,8000.0,48.4,-0.6456143088416071,-12.91028446389498,-8.631578947368428,8000.0,680.0
8100.0,0.072479,1.2750251011715995E-11,8100.0,48.8,0.8040298362879089,-14.031180400890882,-8.01687763713081,8100.0,680.0
8200.0,0.072951,1.2833283593257268E-11,8200.0,49.5,1.6323191398184684,-10.50328227571117,-6.092436974789921,8200.0,680.0
8300.0,0.073438,1.2918954922093285E-11,8300.0,50.0,1.406728793573291,-9.409190371991256,-4.60251046025105,8300.0,680.0
8400.0,0.073889,1.2998293257421917E-11,8400.0,48.6,-2.5452775306139643,-12.227074235807873,-6.639004149377599,8400.0,680.0
8500.0,0.0743,1.30705949332979E-11,8500.0,50.1,-0.29425006431695816,-8.714596949891076,-5.0526315789473735,8500.0,680.0
8600.0,0.074772,1.3153627514839172E-11,8600.0,49.0,-2.6541120016746773,-11.353711790393024,-4.722792607802879,8600.0,680.0
8700.0,0.075191,1.3227336522605684E-11,8700.0,49.2,-2.6158973841026194,-10.675381263616568,-5.175983436853007,8700.0,680.0
