learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.284736,3.9883232116699215E-9,100.0,96.0,92.00319872051179,92.0,90.90909090909089,10100.0,54144.0
200.0,0.318759,4.464886486530303E-9,200.0,98.0,95.98595082789764,95.8762886597938,95.18072289156626,10200.0,54144.0
300.0,0.33965,4.757508635520935E-9,300.0,98.33333333333333,96.64729548502457,96.5986394557823,96.06299212598424,10300.0,54144.0
400.0,0.361643,5.065566599369049E-9,400.0,98.75,97.48693204664255,97.43589743589745,97.1264367816092,10400.0,54144.0
500.0,0.37749,5.287536978721618E-9,500.0,98.8,97.58310104248909,97.59036144578313,97.23502304147466,10500.0,54144.0
600.0,0.393735,5.51508218050003E-9,600.0,99.0,97.98375805096612,97.95918367346938,97.70114942528735,10600.0,54144.0
700.0,0.40876,5.7255387306213375E-9,700.0,98.85714285714286,97.70067747895709,97.67441860465115,97.42765273311896,10700.0,54144.0
800.0,0.424631,5.94784528017044E-9,800.0,98.75,97.49025906800772,97.44245524296676,97.2451790633609,10800.0,54144.0
900.0,0.439428,6.155108213424682E-9,900.0,98.77777777777777,97.55188035371619,97.50566893424035,97.38717339667457,10900.0,54144.0
1000.0,0.454734,6.369500756263732E-9,1000.0,98.9,97.79594453794984,97.78225806451613,97.64453961456103,11000.0,54144.0
1100.0,0.467694,6.551032662391662E-9,1100.0,99.3,98.59716065316199,98.5655737704918,98.51694915254238,11100.0,54144.0
1200.0,0.480269,6.727171838283538E-9,1200.0,99.3,98.59847514095335,98.56850715746421,98.55072463768116,11200.0,54144.0
1300.0,0.493014,6.905692219734191E-9,1300.0,99.3,98.59786876051598,98.53862212943632,98.54469854469853,11300.0,54144.0
1400.0,0.505892,7.086075544357299E-9,1400.0,99.3,98.59938372884068,98.559670781893,98.57142857142857,11400.0,54144.0
1500.0,0.518066,7.256597876548766E-9,1500.0,99.4,98.79996159877116,98.73417721518987,98.80478087649402,11500.0,54144.0
1600.0,0.530415,7.429571449756621E-9,1600.0,99.4,98.7993132071545,98.75259875259876,98.8118811881188,11600.0,54144.0
1700.0,0.543321,7.610346972942351E-9,1700.0,99.6,99.19961581559149,99.16317991631799,99.2094861660079,11700.0,54144.0
1800.0,0.55575,7.784441113471983E-9,1800.0,99.7,99.39989918306276,99.37369519832984,99.40828402366864,11800.0,54144.0
1900.0,0.56783,7.953646779060362E-9,1900.0,99.7,99.3999855996544,99.37888198757764,99.39393939393939,11900.0,54144.0
2000.0,0.58015,8.126214146614073E-9,2000.0,99.6,99.199798349184,99.15966386554622,99.19517102615694,12000.0,54144.0
2100.0,0.592217,8.295237720012663E-9,2100.0,99.6,99.19872115896972,99.16839916839916,99.17864476386036,12100.0,54144.0
2200.0,0.604273,8.464107215404508E-9,2200.0,99.6,99.19884633872776,99.16666666666667,99.18032786885246,12200.0,54144.0
2300.0,0.616586,8.636576533317563E-9,2300.0,99.7,99.39878313706943,99.38524590163934,99.40119760479041,12300.0,54144.0
2400.0,0.628579,8.804563581943509E-9,2400.0,99.7,99.399783922212,99.37759336099586,99.40239043824701,12400.0,54144.0
