learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.097427,1.6040102164778446E-9,100.0,93.0,86.01119104716228,86.00000000000001,84.09090909090911,100.0,63640.0,10.0,598.3,29.758472183004717,943.2,323.96323522550796,6.6,2.6331223544175333,3.8,1.3165611772087666,3.8,1.3165611772087666,2.4999999999999996,0.9718253158075499,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.137962,2.3066012602713373E-9,200.0,96.0,91.98316464575608,91.75257731958763,90.36144578313252,200.0,67000.0,10.0,1204.3,49.139370954233605,1043.2,415.95213399834574,7.4,3.373096170846271,4.2,1.6865480854231356,4.2,1.6865480854231356,2.8,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.159643,2.6823969040479924E-9,300.0,97.0,93.9721378817646,93.87755102040816,92.91338582677164,300.0,67000.0,10.0,1803.6999999999998,59.065030075144975,1216.0,502.2261553434978,8.8,4.049691346263317,4.9,2.0248456731316584,4.9,2.0248456731316584,3.3000000000000003,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.179093,3.03642935016089E-9,400.0,97.75,95.4801124949779,95.38461538461539,94.82758620689657,400.0,70360.0,10.0,2399.8,72.99741243511455,1363.9999999999998,673.1656556895932,10.000000000000002,5.436502143433364,5.500000000000001,2.718251071716682,5.500000000000001,2.718251071716682,3.5999999999999996,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.194968,3.3253889944818284E-9,500.0,98.0,95.97481846431273,95.98393574297188,95.39170506912443,500.0,70360.0,10.0,3012.9,85.52511002298941,1536.0,772.4316582498847,11.4,6.239658110292049,6.2,3.1198290551460244,6.2,3.1198290551460244,3.9999999999999996,1.2472191289246473,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.210932,3.615968633029196E-9,600.0,98.33333333333333,96.64177851409892,96.5986394557823,96.16858237547892,600.0,70360.0,10.0,3614.7000000000003,79.43557837084782,1756.8,956.8332955931015,13.2,7.7430972843917925,7.1,3.8715486421958962,7.1,3.8715486421958962,4.3,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.234863,4.072366706613037E-9,700.0,98.57142857142858,97.1272151223396,97.09302325581396,96.78456591639872,700.0,73720.0,10.0,4226.2,78.45706539956173,1928.8,1060.2101259236827,14.6,8.579044235810887,7.8,4.2895221179054435,7.8,4.2895221179054435,4.800000000000001,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.256092,4.477233812212944E-9,800.0,98.625,97.23975258145866,97.18670076726342,96.96969696969695,800.0,73720.0,10.0,4825.799999999999,87.87592262831609,2104.8,1174.329577058994,16.0,9.486832980505138,8.5,4.743416490252569,8.5,4.743416490252569,4.800000000000001,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.272003,4.7806791236831084E-9,900.0,98.77777777777777,97.55234035819892,97.50566893424035,97.38717339667457,900.0,73720.0,10.0,5420.1,79.25689594953582,2154.4,1257.1236304446045,16.4,10.156552345927015,8.7,5.078276172963507,8.7,5.078276172963507,4.800000000000001,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.289849,5.1210276265111234E-9,1000.0,98.9,97.79635075685334,97.78225806451613,97.64453961456103,1000.0,73720.0,10.0,6025.099999999999,82.54486995298713,2399.2000000000003,1654.1909603589706,18.4,13.401492454200763,9.7,6.700746227100382,9.7,6.700746227100382,5.0,1.632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.306518,5.438929071856869E-9,1100.0,99.6,99.19845140812049,99.18032786885246,99.15254237288136,1100.0,73720.0,10.0,6623.400000000001,71.57311723762699,2550.4,1848.859059588432,19.6,14.938392000331078,10.3,7.469196000165539,10.3,7.469196000165539,5.1,1.5951314818673865,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.323654,5.765736868811978E-9,1200.0,99.7,99.39934648898002,99.38650306748467,99.37888198757764,1200.0,73720.0,10.0,7211.4,53.547901712184576,2750.3999999999996,1990.4690234548573,21.2,16.04022720814418,11.1,8.02011360407209,11.1,8.02011360407209,5.3999999999999995,1.646545204697129,0.0,0.0,0.0,0.0,1.0,0.0
