learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.003972,1.1241039716535144E-9,100.0,99.0,97.9903536977492,98.0,97.87234042553192,10100.0,4328.0
200.0,1.024004,1.1465329345729615E-9,200.0,99.0,97.99939981994599,97.9381443298969,97.89473684210526,10200.0,4328.0
300.0,1.038709,1.162997486276759E-9,300.0,99.33333333333333,98.6652429257875,98.58156028368793,98.59154929577464,10300.0,4328.0
400.0,1.050535,1.176238546354903E-9,400.0,99.5,98.99879855826993,98.9795918367347,98.94736842105263,10400.0,4328.0
500.0,1.060673,1.1875896259314483E-9,500.0,99.6,99.19980795390893,99.20318725099602,99.1769547325103,10500.0,4328.0
600.0,1.070177,1.1982308431631988E-9,600.0,99.66666666666667,99.33208656158162,99.33554817275747,99.29577464788734,10600.0,4328.0
700.0,1.079459,1.2086234966086015E-9,700.0,99.71428571428571,99.42778667887387,99.4236311239193,99.40119760479041,10700.0,4328.0
800.0,1.089492,1.2198570122321445E-9,800.0,99.75,99.4998499549865,99.49494949494951,99.4871794871795,10800.0,4328.0
900.0,1.102191,1.2340755326052505E-9,900.0,99.77777777777777,99.55552263130602,99.5475113122172,99.54648526077096,10900.0,4328.0
1000.0,1.112711,1.2458543210393851E-9,1000.0,99.8,99.6,99.59919839679358,99.5959595959596,11000.0,4328.0
1100.0,1.147413,1.2847086476782957E-9,1100.0,99.2,98.40010239344682,98.4126984126984,98.39034205231388,11100.0,4328.0
1200.0,1.163347,1.3025492574605675E-9,1200.0,99.3,98.5993276772851,98.60834990059641,98.58012170385395,11200.0,4328.0
1300.0,1.178279,1.319267971234189E-9,1300.0,99.2,98.39964792254295,98.41584158415841,98.38709677419355,11300.0,4328.0
1400.0,1.193809,1.336656239711576E-9,1400.0,99.0,97.99983198588681,98.01192842942345,97.98792756539235,11400.0,4328.0
1500.0,1.211394,1.3563454026977221E-9,1500.0,98.9,97.79994719873277,97.75510204081633,97.79116465863453,11500.0,4328.0
1600.0,1.225171,1.3717709129883184E-9,1600.0,98.8,97.59930860087705,97.57085020242914,97.6,11600.0,4328.0
1700.0,1.238291,1.3864608088301289E-9,1700.0,98.6,97.19892438696459,97.21115537848605,97.2,11700.0,4328.0
1800.0,1.251701,1.4014754051135648E-9,1800.0,98.5,96.99915976473412,97.01195219123507,96.93877551020408,11800.0,4328.0
1900.0,1.266713,1.418283691422807E-9,1900.0,98.4,96.7998079884793,96.81274900398405,96.74134419551935,11900.0,4328.0
2000.0,1.28216,1.4355790283944872E-9,2000.0,98.1,96.2,96.20758483033931,96.04989604989605,12000.0,4328.0
