learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.619594,8.146549020376471E-9,100.0,98.0,95.97585513078471,96.0,95.74468085106382,10100.0,50824.0
200.0,0.655025,8.612403076969916E-9,200.0,98.5,96.99939987997598,96.90721649484536,96.84210526315789,10200.0,50824.0
300.0,0.674331,8.866242325554292E-9,300.0,99.0,97.99822064056939,97.87234042553192,97.88732394366197,10300.0,50824.0
400.0,0.691696,9.094560907946693E-9,400.0,99.0,97.99759711653985,97.95918367346938,97.89473684210526,10400.0,50824.0
500.0,0.707193,9.298318643122911E-9,500.0,99.2,98.39961590781787,98.40637450199203,98.35390946502058,10500.0,50824.0
600.0,0.717685,9.436269611534144E-9,600.0,99.33333333333333,98.66417312316324,98.67109634551493,98.59154929577464,10600.0,50824.0
700.0,0.730217,9.601042918446991E-9,700.0,99.42857142857143,98.85557335774777,98.84726224783863,98.80239520958085,10700.0,50824.0
800.0,0.741502,9.749420413540469E-9,800.0,99.5,98.99969990997299,98.98989898989899,98.97435897435898,10800.0,50824.0
900.0,0.751416,9.879771719376246E-9,900.0,99.55555555555556,99.11104526261204,99.09502262443438,99.09297052154194,10900.0,50824.0
1000.0,0.762049,1.0019576584713326E-8,1000.0,99.6,99.2,99.19839679358718,99.19191919191918,11000.0,50824.0
1100.0,0.776414,1.020845055166218E-8,1100.0,99.3,98.59997759964159,98.6111111111111,98.59154929577466,11100.0,50824.0
1200.0,0.787716,1.035705156624317E-8,1200.0,99.4,98.79953902298483,98.80715705765407,98.78296146044624,11200.0,50824.0
1300.0,0.79928,1.0509097410572898E-8,1300.0,99.3,98.59977596415426,98.61386138613861,98.58870967741935,11300.0,50824.0
1400.0,0.810351,1.0654661189764736E-8,1400.0,99.2,98.39990399423965,98.40954274353876,98.39034205231388,11400.0,50824.0
1500.0,0.820247,1.0784775827907851E-8,1500.0,99.1,98.19997119953919,98.16326530612245,98.19277108433735,11500.0,50824.0
1600.0,0.829998,1.091298397630453E-8,1600.0,99.0,97.9992317049747,97.97570850202429,98.0,11600.0,50824.0
1700.0,0.840142,1.1046359369324312E-8,1700.0,98.8,97.59884744677446,97.60956175298804,97.6,11700.0,50824.0
1800.0,0.850135,1.1177749383366768E-8,1800.0,98.7,97.39906366291865,97.41035856573706,97.34693877551021,11800.0,50824.0
1900.0,0.860235,1.1310546255360046E-8,1900.0,98.6,97.19989919637106,97.21115537848605,97.14867617107943,11900.0,50824.0
2000.0,0.870816,1.1449667414029438E-8,2000.0,98.5,97.0,97.0059880239521,96.88149688149687,12000.0,50824.0
