learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.322704,1.8650422394275666E-8,100.0,99.0,97.99839871897518,98.0,97.72727272727273,60100.0,54504.0
200.0,1.362329,1.9209143761545422E-8,200.0,99.5,98.994368463395,98.96907216494846,98.79518072289156,60200.0,54504.0
300.0,1.387351,1.9561959560960533E-8,300.0,99.66666666666667,99.3278967649431,99.31972789115648,99.21259842519686,60300.0,54504.0
400.0,1.415212,1.9954805895686152E-8,400.0,99.75,99.49657672170761,99.4871794871795,99.42528735632186,60400.0,54504.0
500.0,1.436824,2.025953993201256E-8,500.0,99.6,99.19317099933839,99.19678714859438,99.07834101382488,60500.0,54504.0
600.0,1.457247,2.0547508802264932E-8,600.0,99.66666666666667,99.32704494218196,99.31972789115648,99.23371647509579,60600.0,54504.0
700.0,1.473924,2.078265823423863E-8,700.0,99.42857142857143,98.84924255501032,98.83720930232559,98.7138263665595,60700.0,54504.0
800.0,1.490704,2.1019259989261632E-8,800.0,99.375,98.74449145626436,98.72122762148338,98.62258953168045,60800.0,54504.0
900.0,1.50611,2.1236488036811356E-8,900.0,99.33333333333333,98.66428546693116,98.63945578231291,98.57482185273159,60900.0,54504.0
1000.0,1.522441,2.146675879135728E-8,1000.0,99.4,98.79745541565953,98.79032258064517,98.7152034261242,61000.0,54504.0
1100.0,1.540562,2.1722268946468832E-8,1100.0,99.5,98.99797189511571,98.97540983606558,98.9406779661017,61100.0,54504.0
1200.0,1.558686,2.197782140225172E-8,1200.0,99.5,98.99891081496668,98.97750511247445,98.9648033126294,61200.0,54504.0
1300.0,1.576612,2.2230582013726233E-8,1300.0,99.5,98.99863012601239,98.95615866388309,98.96049896049895,61300.0,54504.0
1400.0,1.590758,2.2430043779313563E-8,1400.0,99.5,98.99963987035333,98.97119341563786,98.9795918367347,61400.0,54504.0
1500.0,1.604513,2.262399235740304E-8,1500.0,99.6,99.19994879672299,99.15611814345992,99.20318725099602,61500.0,54504.0
1600.0,1.618378,2.281949196010828E-8,1600.0,99.6,99.19945883417189,99.16839916839916,99.20792079207921,61600.0,54504.0
1700.0,1.633045,2.3026299942284823E-8,1700.0,99.8,99.59976946721312,99.581589958159,99.60474308300395,61700.0,54504.0
1800.0,1.646959,2.3222490455955266E-8,1800.0,99.8,99.5999215846306,99.58246346555325,99.60552268244575,61800.0,54504.0
1900.0,1.660472,2.341302677989006E-8,1900.0,99.9,99.79999039953917,99.79296066252587,99.79797979797979,61900.0,54504.0
2000.0,1.674253,2.3607341963797806E-8,2000.0,99.9,99.79992797407067,99.78991596638656,99.79879275653923,62000.0,54504.0
2100.0,1.686705,2.378291795030236E-8,2100.0,99.9,99.79962971571464,99.79209979209979,99.7946611909651,62100.0,54504.0
2200.0,1.699136,2.395819783210754E-8,2200.0,99.9,99.79966343457008,99.79166666666667,99.79508196721312,62200.0,54504.0
2300.0,1.711669,2.413491593673825E-8,2300.0,99.9,99.79955742278952,99.79508196721312,99.8003992015968,62300.0,54504.0
2400.0,1.724367,2.4313960578292606E-8,2400.0,99.9,99.79991196126295,99.79253112033194,99.800796812749,62400.0,54504.0
2500.0,1.737202,2.4494936950504776E-8,2500.0,99.9,99.8,99.79209979209979,99.79959919839679,62500.0,54504.0
2600.0,1.749803,2.4672613870352503E-8,2600.0,99.9,99.7999839987199,99.7872340425532,99.8003992015968,62600.0,54504.0
2700.0,1.762622,2.48533646389842E-8,2700.0,99.9,99.7999839987199,99.7867803837953,99.79959919839679,62700.0,54504.0
2800.0,1.774887,2.5026303883641955E-8,2800.0,100.0,100.0,100.0,100.0,62800.0,54504.0
2900.0,1.787329,2.520173886790871E-8,2900.0,100.0,100.0,100.0,100.0,62900.0,54504.0
3000.0,1.79931,2.5370673649013037E-8,3000.0,100.0,100.0,100.0,100.0,63000.0,54504.0
3100.0,1.81167,2.5544952414929862E-8,3100.0,100.0,100.0,100.0,100.0,63100.0,54504.0
3200.0,1.823801,2.571600222960114E-8,3200.0,100.0,100.0,100.0,100.0,63200.0,54504.0
3300.0,1.836962,2.5901575274765487E-8,3300.0,100.0,100.0,100.0,100.0,63300.0,54504.0
3400.0,1.849251,2.6074852924793953E-8,3400.0,100.0,100.0,100.0,100.0,63400.0,54504.0
3500.0,1.86119,2.6243195496499534E-8,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,63500.0,54504.0
3600.0,1.872322,2.6400159187614912E-8,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,63600.0,54504.0
3700.0,1.883445,2.6556995976716275E-8,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,63700.0,54504.0
3800.0,1.894923,2.6718838345259424E-8,3800.0,99.9,99.7999839987199,99.8019801980198,99.79879275653923,63800.0,54504.0
3900.0,1.906461,2.688152672722935E-8,3900.0,99.9,99.79995518996255,99.80544747081711,99.79757085020243,63900.0,54504.0
4000.0,1.917528,2.703757390379905E-8,4000.0,99.9,99.79999519988479,99.80544747081711,99.8003992015968,64000.0,54504.0
4100.0,1.928522,2.7192591764032833E-8,4100.0,99.9,99.7997548999976,99.8015873015873,99.8015873015873,64100.0,54504.0
4200.0,1.939822,2.7351924292743197E-8,4200.0,99.8,99.6,99.61315280464217,99.59349593495935,64200.0,54504.0
4300.0,1.950162,2.749772060662507E-8,4300.0,99.8,99.59998719959039,99.61013645224172,99.59016393442623,64300.0,54504.0
4400.0,1.960383,2.7641838993877165E-8,4400.0,99.8,99.5999439921589,99.61612284069098,99.59432048681542,64400.0,54504.0
4500.0,1.970841,2.778929913416504E-8,4500.0,99.9,99.79999519988479,99.80952380952381,99.79296066252587,64500.0,54504.0
4600.0,1.981245,2.7935997862368815E-8,4600.0,99.9,99.79989434421374,99.80879541108987,99.78858350951374,64600.0,54504.0
4700.0,1.991287,2.8077592309564344E-8,4700.0,99.9,99.79999039953917,99.8076923076923,99.79296066252587,64700.0,54504.0
4800.0,2.001404,2.822024427354335E-8,4800.0,99.9,99.7999839987199,99.8076923076923,99.7946611909651,64800.0,54504.0
4900.0,2.011408,2.8361302912235253E-8,4900.0,99.9,99.79992797407067,99.80916030534351,99.79591836734694,64900.0,54504.0
5000.0,2.021998,2.8510624282062046E-8,5000.0,99.9,99.79978216299334,99.8062015503876,99.79035639412997,65000.0,54504.0
5100.0,2.032102,2.8653092943131917E-8,5100.0,99.8,99.59980630625222,99.61685823754789,99.59432048681542,65100.0,54504.0
5200.0,2.043148,2.8808844015002244E-8,5200.0,99.8,99.59996159631325,99.61832061068702,99.5959595959596,65200.0,54504.0
5300.0,2.05336,2.895283550024032E-8,5300.0,99.7,99.3999855996544,99.43925233644862,99.39393939393939,65300.0,54504.0
5400.0,2.063778,2.9099731631577007E-8,5400.0,99.7,99.3999855996544,99.42084942084942,99.38775510204081,65400.0,54504.0
5500.0,2.073891,2.9242327194660893E-8,5500.0,99.7,99.399783922212,99.4186046511628,99.3801652892562,65500.0,54504.0
5600.0,2.0843,2.9389096423983566E-8,5600.0,99.6,99.19896185456352,99.21875,99.18367346938776,65600.0,54504.0
5700.0,2.094344,2.9530719071626656E-8,5700.0,99.6,99.19961261250445,99.21722113502935,99.16492693110646,65700.0,54504.0
5800.0,2.10423,2.9670113883912557E-8,5800.0,99.6,99.1999199919992,99.20792079207921,99.18032786885246,65800.0,54504.0
5900.0,2.113999,2.9807858970016234E-8,5900.0,99.6,99.19998719979519,99.20159680638723,99.18533604887983,65900.0,54504.0
6000.0,2.124163,2.995117364451288E-8,6000.0,99.5,98.9991592938068,99.0234375,98.98989898989899,66000.0,54504.0
6100.0,2.134145,3.009192207828163E-8,6100.0,99.6,99.1999231926265,99.23518164435946,99.17184265010351,66100.0,54504.0
6200.0,2.144367,3.02360545657575E-8,6200.0,99.6,99.19998399968,99.23224568138195,99.15966386554622,66200.0,54504.0
6300.0,2.154482,3.037867832928895E-8,6300.0,99.7,99.39990398463753,99.41176470588235,99.375,66300.0,54504.0
6400.0,2.164493,3.0519835669547306E-8,6400.0,99.7,99.39990398463753,99.41520467836257,99.38144329896907,66400.0,54504.0
