learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,19.863249,1.6049401300835113E-6,100.0,99.0,97.95417348608838,97.61904761904762,97.5,60100.0,312328.0
200.0,20.011907,1.6170808373784854E-6,200.0,99.5,98.99091826437942,98.94736842105263,98.86363636363636,60200.0,315688.0
300.0,20.136479,1.6272544720913801E-6,300.0,99.66666666666667,99.3324432576769,99.26470588235294,99.29577464788734,60300.0,315688.0
400.0,20.221519,1.6342734989999897E-6,400.0,99.75,99.49887246304185,99.48979591836736,99.46808510638299,60400.0,319048.0
500.0,20.308061,1.6414164979031517E-6,500.0,99.8,99.598999101758,99.59183673469387,99.57446808510639,60500.0,319048.0
600.0,20.402786,1.6492349048165813E-6,600.0,99.66666666666667,99.33259176863181,99.3220338983051,99.30555555555556,60600.0,319048.0
700.0,20.490076,1.6565155175742176E-6,700.0,99.71428571428571,99.42857142857142,99.4236311239193,99.4236311239193,60700.0,322408.0
800.0,20.570122,1.663191928718653E-6,800.0,99.75,99.49999687498048,99.48586118251929,99.48453608247424,60800.0,322408.0
900.0,20.651445,1.6699748508321742E-6,900.0,99.77777777777777,99.55554677623262,99.5475113122172,99.54233409610984,60900.0,322408.0
1000.0,20.72827,1.67638260744926E-6,1000.0,99.8,99.6,99.59758551307847,99.581589958159,61000.0,322408.0
1100.0,20.824055,1.6843717642024987E-6,1100.0,99.6,99.19928255717122,99.20634920634922,99.16666666666667,61100.0,322408.0
1200.0,20.931854,1.693362974818382E-6,1200.0,99.4,98.79808173845457,98.81422924901186,98.74739039665971,61200.0,322408.0
1300.0,21.030662,1.7016901587901844E-6,1300.0,99.0,97.99935979513444,98.08429118773945,97.9253112033195,61300.0,325768.0
1400.0,21.13622,1.7105862085604005E-6,1400.0,98.8,97.5997599759976,97.62845849802372,97.57575757575758,61400.0,325768.0
1500.0,21.244239,1.7193386785044438E-6,1500.0,98.6,97.1983862704918,97.17741935483872,97.16599190283401,61500.0,313208.0
1600.0,21.337556,1.72689988753034E-6,1600.0,98.4,96.7999871999488,96.7280163599182,96.80638722554889,61600.0,313208.0
1700.0,21.437064,1.734962735540337E-6,1700.0,98.2,96.39909257132797,96.23430962343096,96.34146341463415,61700.0,313208.0
1800.0,21.535004,1.7428985330048534E-6,1800.0,97.89999999999999,95.79952954730929,95.679012345679,95.83333333333333,61800.0,313208.0
1900.0,21.626408,1.7503047371241781E-6,1900.0,97.0,93.99915988238354,93.85245901639344,94.07114624505928,61900.0,313208.0
2000.0,21.721096,1.7579770343502363E-6,2000.0,96.39999999999999,92.8,92.60780287474331,93.03675048355899,62000.0,313208.0
2100.0,21.857871,1.7691410448008942E-6,2100.0,94.19999999999999,88.39744743843644,88.23529411764704,88.82466281310211,62100.0,315512.0
2200.0,22.035388,1.7832484610461528E-6,2200.0,92.0,83.99769566817623,83.70672097759675,84.90566037735849,62200.0,307192.0
2300.0,22.197256,1.7960559584034816E-6,2300.0,89.60000000000001,79.2009983520791,78.55670103092784,79.80582524271846,62300.0,305848.0
2400.0,22.346804,1.8078007596813971E-6,2400.0,87.3,74.5969516341961,74.54909819639278,74.7011952191235,62400.0,303576.0
2500.0,22.490339,1.819173140478217E-6,2500.0,84.6,69.20997596778643,70.09708737864078,69.68503937007874,62500.0,306264.0
2600.0,22.637732,1.8308896290966207E-6,2600.0,82.89999999999999,65.81230756927505,67.49049429657794,65.93625498007968,62600.0,307272.0
2700.0,22.789427,1.8429744617910021E-6,2700.0,80.4,60.81175647305809,63.56877323420075,61.56862745098041,62700.0,307944.0
2800.0,22.932141,1.8543810357049935E-6,2800.0,78.2,56.41115874336171,59.85267034990793,56.831683168316836,62800.0,308952.0
2900.0,23.075141,1.8658726187443567E-6,2900.0,76.8,53.61577063798308,56.71641791044776,53.78486055776893,62900.0,310632.0
3000.0,23.224258,1.8778687300740016E-6,3000.0,75.0,50.0,52.56166982922201,50.0,63000.0,310968.0
3100.0,23.390483,1.891241139697118E-6,3100.0,74.4,48.8,51.698113207547166,48.282828282828284,63100.0,310968.0
3200.0,23.551872,1.904154362078342E-6,3200.0,73.4,46.71303567422032,49.42965779467681,45.04132231404958,63200.0,309288.0
3300.0,23.710314,1.9168593307170603E-6,3300.0,74.0,47.94502995162892,50.2868068833652,47.26166328600405,63300.0,309960.0
3400.0,23.858085,1.9287600042815836E-6,3400.0,73.5,46.95968936391657,48.343079922027286,47.31610337972167,63400.0,311304.0
3500.0,24.009871,1.941049992940906E-6,3500.0,73.5,46.995759660772855,48.94026974951831,47.524752475247524,63500.0,312984.0
3600.0,24.160418,1.953265832906796E-6,3600.0,72.39999999999999,44.8,45.669291338582674,44.91017964071855,63600.0,313656.0
3700.0,24.310486,1.9654428053605887E-6,3700.0,72.0,43.99798392742139,44.22310756972111,43.43434343434343,63700.0,313656.0
3800.0,24.4662,1.97807791137033E-6,3800.0,70.7,41.39953119624956,40.68825910931173,41.39999999999999,63800.0,313656.0
3900.0,24.6336,1.991675805830293E-6,3900.0,69.6,39.198054337738796,38.46153846153845,38.46153846153845,63900.0,313992.0
4000.0,24.79917,2.005125049472683E-6,4000.0,69.6,39.19999999999999,38.46153846153845,38.709677419354826,64000.0,313992.0
4100.0,24.942683,2.016782603998565E-6,4100.0,72.1,44.19687502500139,42.82786885245901,44.97041420118343,64100.0,313992.0
4200.0,25.07506,2.027535581746035E-6,4200.0,75.1,50.1820655435957,48.553719008264466,50.887573964497044,64200.0,313992.0
4300.0,25.205056,2.0380951509707506E-6,4300.0,76.9,53.790758151630335,51.87500000000001,54.16666666666667,64300.0,313992.0
4400.0,25.333034,2.0484907981463608E-6,4400.0,79.0,57.99445526809539,56.15866388308978,58.333333333333336,64400.0,313992.0
4500.0,25.458393,2.058673704069936E-6,4500.0,81.6,63.12728700998368,59.737417943107204,62.44897959183673,64500.0,313992.0
4600.0,25.579213,2.068487907227957E-6,4600.0,84.3,68.54791534781597,65.41850220264315,67.89366053169734,64600.0,313992.0
4700.0,25.693652,2.0778036769065595E-6,4700.0,86.9,73.78385085212491,71.64502164502164,73.42799188640974,64700.0,314664.0
4800.0,25.809205,2.0872402632133004E-6,4800.0,90.5,80.99483059392155,79.25764192139738,80.65173116089613,64800.0,315672.0
4900.0,25.918969,2.09620409331181E-6,4900.0,93.60000000000001,87.19123880734423,86.5263157894737,87.07070707070707,64900.0,315672.0
5000.0,26.025768,2.104916504617367E-6,5000.0,95.7,91.39999999999999,90.96638655462183,91.48514851485147,65000.0,315336.0
5100.0,26.119263,2.112543606884364E-6,5100.0,96.2,92.40085110467628,91.77489177489177,92.44532803180914,65100.0,315336.0
5200.0,26.214543,2.1202997611235416E-6,5200.0,96.6,93.19768721365264,92.87211740041928,93.22709163346613,65200.0,314664.0
5300.0,26.30783,2.12788556875868E-6,5300.0,97.0,93.99865569887655,93.76299376299376,94.08284023668638,65300.0,314328.0
5400.0,26.398141,2.135229377363705E-6,5400.0,97.89999999999999,95.80010079758085,95.69672131147541,95.75757575757575,65400.0,314328.0
5500.0,26.48538,2.142323380518291E-6,5500.0,98.2,96.39831441114441,96.37096774193547,96.42857142857143,65500.0,314328.0
5600.0,26.575768,2.1496734505229526E-6,5600.0,98.6,97.19913733429895,97.22222222222221,97.24409448818896,65600.0,314328.0
5700.0,26.661853,2.156673613999867E-6,5700.0,99.1,98.19959670966296,98.18181818181819,98.19639278557113,65700.0,314328.0
5800.0,26.752842,2.1640765099869005E-6,5800.0,99.2,98.39948783610755,98.38709677419355,98.38383838383838,65800.0,314496.0
5900.0,26.842359,2.1713557529904776E-6,5900.0,99.5,98.99947172106872,98.9517819706499,99.00199600798403,65900.0,314328.0
6000.0,26.933724,2.1787852695853345E-6,6000.0,99.8,99.6,99.59016393442623,99.59432048681542,66000.0,314328.0
