learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.989997,5.601211896166206E-8,100.0,99.0,97.95417348608838,97.61904761904762,97.5,60100.0,54264.0
200.0,4.032019,5.6602029496183006E-8,200.0,99.5,98.99091826437942,98.94736842105263,98.86363636363636,60200.0,54264.0
300.0,4.057452,5.695906139910222E-8,300.0,99.66666666666667,99.3324432576769,99.26470588235294,99.29577464788734,60300.0,54264.0
400.0,4.080653,5.7284760183344294E-8,400.0,99.75,99.49887246304185,99.48979591836736,99.46808510638299,60400.0,54264.0
500.0,4.10287,5.759664544214806E-8,500.0,99.8,99.598999101758,99.59183673469387,99.57446808510639,60500.0,54264.0
600.0,4.122436,5.787131560345492E-8,600.0,99.66666666666667,99.33259176863181,99.3220338983051,99.30555555555556,60600.0,54264.0
700.0,4.142909,5.815871835375827E-8,700.0,99.71428571428571,99.42857142857142,99.4236311239193,99.4236311239193,60700.0,54264.0
800.0,4.162306,5.843101607014737E-8,800.0,99.75,99.49999687498048,99.48586118251929,99.48453608247424,60800.0,54264.0
900.0,4.180362,5.868448864668609E-8,900.0,99.77777777777777,99.55554677623262,99.5475113122172,99.54233409610984,60900.0,54264.0
1000.0,4.198242,5.8935490511357796E-8,1000.0,99.8,99.6,99.59758551307847,99.581589958159,61000.0,54264.0
1100.0,4.217415,5.9204643685370696E-8,1100.0,99.7,99.39942344650865,99.40476190476191,99.375,61100.0,54264.0
1200.0,4.243574,5.957186727474134E-8,1200.0,99.5,98.99831717285039,99.01185770750988,98.95615866388309,61200.0,54264.0
1300.0,4.265544,5.988028511404992E-8,1300.0,99.1,98.19935176663598,98.27586206896551,98.13278008298755,61300.0,54264.0
1400.0,4.290066,6.022452827543021E-8,1400.0,98.9,97.7997359683162,97.82608695652173,97.77777777777777,61400.0,54264.0
1500.0,4.32192,6.056819645067058E-8,1500.0,98.4,96.79754051111253,96.77419354838709,96.76113360323886,79.0,41704.0
1600.0,4.339099,6.075353818428187E-8,1600.0,97.8,95.60001759992959,95.50102249488752,95.60878243512974,179.0,41704.0
1700.0,4.353099,6.090458214903874E-8,1700.0,97.3,94.59922228800947,94.35146443514644,94.51219512195121,279.0,41704.0
1800.0,4.368595,6.107176624031533E-8,1800.0,96.7,93.39999999999999,93.20987654320987,93.45238095238095,379.0,41704.0
1900.0,4.381918,6.121550615049073E-8,1900.0,95.89999999999999,91.80045917428623,91.5983606557377,91.89723320158102,479.0,41704.0
2000.0,4.395044,6.135712065630492E-8,2000.0,95.39999999999999,90.8,90.55441478439424,91.10251450676982,579.0,41704.0
2100.0,4.420549,6.163229039352804E-8,2100.0,93.0,86.00431067231294,85.80121703853956,86.51252408477843,679.0,41704.0
2200.0,4.454144,6.199474196467138E-8,2200.0,90.4,80.80644903312488,80.44806517311609,81.88679245283019,75.0,41704.0
2300.0,4.482263,6.229811376788553E-8,2300.0,87.4,74.79395054813155,74.02061855670104,75.53398058252428,85.0,41704.0
2400.0,4.4975,6.246250354581413E-8,2400.0,85.2,70.31629194328004,70.34068136272545,70.51792828685258,185.0,41704.0
2500.0,4.511802,6.261680574466788E-8,2500.0,82.6,65.14604607933079,66.2135922330097,65.74803149606299,285.0,41704.0
