learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.698609,5.1921574703107276E-8,100.0,99.0,97.95417348608838,97.61904761904762,97.5,60100.0,54264.0
200.0,3.739863,5.250070394948125E-8,200.0,99.5,98.99091826437942,98.94736842105263,98.86363636363636,60200.0,54264.0
300.0,3.76209,5.2812729589641096E-8,300.0,99.66666666666667,99.3324432576769,99.26470588235294,99.29577464788734,60300.0,54264.0
400.0,3.780281,5.30680973144869E-8,400.0,99.75,99.49887246304185,99.48979591836736,99.46808510638299,60400.0,54264.0
500.0,3.797182,5.3305355844398335E-8,500.0,99.8,99.598999101758,99.59183673469387,99.57446808510639,60500.0,54264.0
600.0,3.812803,5.3524645560731484E-8,600.0,99.66666666666667,99.33259176863181,99.3220338983051,99.30555555555556,60600.0,54264.0
700.0,3.830188,5.3768698548277213E-8,700.0,99.71428571428571,99.42857142857142,99.4236311239193,99.4236311239193,60700.0,54264.0
800.0,3.84676,5.400133853157361E-8,800.0,99.75,99.49999687498048,99.48586118251929,99.48453608247424,60800.0,54264.0
900.0,3.861774,5.421210709959268E-8,900.0,99.77777777777777,99.55554677623262,99.5475113122172,99.54233409610984,60900.0,54264.0
1000.0,3.876303,5.441606717184185E-8,1000.0,99.8,99.6,99.59758551307847,99.581589958159,61000.0,54264.0
1100.0,3.89305,5.465116382886965E-8,1100.0,99.7,99.39942344650865,99.40476190476191,99.375,61100.0,54264.0
1200.0,3.912447,5.492346154525875E-8,1200.0,99.5,98.99831717285039,99.01185770750988,98.95615866388309,61200.0,54264.0
1300.0,3.93032,5.51743651429812E-8,1300.0,99.1,98.19935176663598,98.27586206896551,98.13278008298755,61300.0,54264.0
1400.0,3.948821,5.54340846898655E-8,1400.0,98.9,97.7997359683162,97.82608695652173,97.77777777777777,61400.0,54264.0
1500.0,3.964808,5.565851236383119E-8,1500.0,98.8,97.59861680327869,97.58064516129032,97.57085020242914,61500.0,54264.0
1600.0,3.979827,5.5869351122528304E-8,1600.0,98.6,97.1999887999552,97.13701431492842,97.20558882235528,61600.0,54264.0
1700.0,3.99607,5.609737255920965E-8,1700.0,98.4,96.79919339673597,96.65271966527197,96.74796747967478,61700.0,54264.0
1800.0,4.011329,5.6311580470452693E-8,1800.0,98.1,96.19957435232746,96.09053497942386,96.23015873015872,61800.0,54264.0
1900.0,4.026972,5.653117902576922E-8,1900.0,97.2,94.39921589022462,94.26229508196721,94.46640316205533,61900.0,54264.0
2000.0,4.041072,5.672911673784255E-8,2000.0,96.6,93.19999999999999,93.01848049281314,93.42359767891682,62000.0,54264.0
2100.0,4.069555,5.712896495436627E-8,2100.0,94.3,88.59698960525577,88.43813387423934,89.01734104046241,62100.0,54264.0
2200.0,4.098435,5.753438631072639E-8,2200.0,92.10000000000001,84.19734515398588,83.91038696537679,85.09433962264151,62200.0,54264.0
2300.0,4.126411,5.792711719249684E-8,2300.0,89.7,79.40115353540203,78.76288659793815,80.0,62300.0,54264.0
2400.0,4.154187,5.831704044714569E-8,2400.0,87.4,74.79848790927456,74.74949899799599,74.9003984063745,62400.0,54264.0
2500.0,4.181663,5.870275226111212E-8,2500.0,84.6,69.20997596778643,70.09708737864078,69.68503937007874,62500.0,54264.0
2600.0,4.20766,5.9067701672514266E-8,2600.0,82.89999999999999,65.81230756927505,67.49049429657794,65.93625498007968,62600.0,54264.0
2700.0,4.235313,5.945589823648332E-8,2700.0,80.4,60.81175647305809,63.56877323420075,61.56862745098041,62700.0,54264.0
2800.0,4.260829,5.9814095304658E-8,2800.0,78.2,56.41115874336171,59.85267034990793,56.831683168316836,62800.0,54264.0
2900.0,4.286093,6.016875476265946E-8,2900.0,76.8,53.61577063798308,56.71641791044776,53.78486055776893,62900.0,54264.0
3000.0,4.311696,6.052817314863204E-8,3000.0,75.0,50.0,52.56166982922201,50.0,63000.0,54264.0
3100.0,4.340206,6.092840039481718E-8,3100.0,74.4,48.8,51.698113207547166,48.282828282828284,63100.0,54264.0
3200.0,4.375258,6.14204651241501E-8,3200.0,73.4,46.71303567422032,49.42965779467681,45.04132231404958,63200.0,54264.0
3300.0,4.404039,6.182449670508503E-8,3300.0,74.0,47.94502995162892,50.2868068833652,47.26166328600405,63300.0,54264.0
3400.0,4.428349,6.216576378171643E-8,3400.0,73.5,46.95968936391657,48.343079922027286,47.31610337972167,63400.0,54264.0
3500.0,4.453964,6.25253506253163E-8,3500.0,73.5,46.995759660772855,48.94026974951831,47.524752475247524,63500.0,54264.0
3600.0,4.47876,6.287344023585319E-8,3600.0,72.39999999999999,44.8,45.669291338582674,44.91017964071855,63600.0,54264.0
3700.0,4.503107,6.321522672350207E-8,3700.0,72.0,43.99798392742139,44.22310756972111,43.43434343434343,63700.0,54264.0
3800.0,4.527256,6.355423366030056E-8,3800.0,70.7,41.39953119624956,40.68825910931173,41.39999999999999,63800.0,54264.0
3900.0,4.553127,6.39174142666161E-8,3900.0,69.6,39.198054337738796,38.46153846153845,38.46153846153845,63900.0,54264.0
4000.0,4.580984,6.43084746102492E-8,4000.0,69.69999999999999,39.39999999999999,38.66396761133602,38.91129032258063,64000.0,54264.0
4100.0,4.604659,6.464082747076947E-8,4100.0,72.2,44.396441372247814,43.03278688524589,45.16765285996055,64100.0,54264.0
4200.0,4.624583,6.492052328462401E-8,4200.0,75.3,50.57864997678997,48.96694214876033,51.28205128205129,64200.0,54264.0
4300.0,4.643266,6.518279777218897E-8,4300.0,77.2,54.3854033290653,52.5,54.761904761904766,64300.0,54264.0
4400.0,4.663973,6.54734854462246E-8,4400.0,79.4,58.79653890926839,56.99373695198331,59.12698412698414,64400.0,54264.0
4500.0,4.682624,6.57353107134501E-8,4500.0,82.1,64.14147889355426,60.83150984682712,63.469387755102034,64500.0,54264.0
4600.0,4.70132,6.599776769677797E-8,4600.0,85.0,69.96106954613178,66.96035242290748,69.32515337423312,64600.0,54264.0
4700.0,4.719261,6.624962588772177E-8,4700.0,87.5,74.98879498015111,72.94372294372295,74.64503042596348,64700.0,54264.0
4800.0,4.737946,6.651192845155795E-8,4800.0,91.10000000000001,82.19686664853015,80.56768558951966,81.87372708757637,64800.0,54264.0
4900.0,4.756693,6.677510137980183E-8,4900.0,94.19999999999999,88.394568658132,87.78947368421052,88.28282828282828,64900.0,54264.0
5000.0,4.774254,6.702162507921457E-8,5000.0,96.2,92.39999999999999,92.01680672268907,92.47524752475246,65000.0,54264.0
5100.0,4.790155,6.724484547351796E-8,5100.0,96.7,93.40047516578805,92.85714285714285,93.43936381709742,65100.0,54264.0
5200.0,4.80595,6.746657782544691E-8,5200.0,97.0,93.99843959429451,93.71069182389937,94.0239043824701,65200.0,54264.0
5300.0,4.820844,6.767566181719303E-8,5300.0,97.3,94.59904943270016,94.38669438669439,94.67455621301775,65300.0,54264.0
5400.0,4.835492,6.788129242757956E-8,5400.0,98.1,96.2000303997568,96.10655737704917,96.16161616161617,65400.0,54264.0
5500.0,4.848712,6.806687658031781E-8,5500.0,98.3,96.59823108016168,96.57258064516128,96.62698412698413,65500.0,54264.0
5600.0,4.861581,6.824753334745764E-8,5600.0,98.5,96.99894362815711,97.02380952380952,97.04724409448818,65600.0,54264.0
5700.0,4.875205,6.843878890698154E-8,5700.0,99.1,98.19959670966296,98.18181818181819,98.19639278557113,65700.0,54264.0
5800.0,4.888446,6.862466786056756E-8,5800.0,99.2,98.39948783610755,98.38709677419355,98.38383838383838,65800.0,54264.0
5900.0,4.901589,6.8809171076864E-8,5900.0,99.5,98.99947172106872,98.9517819706499,99.00199600798403,65900.0,54264.0
6000.0,4.915569,6.900542421266435E-8,6000.0,99.8,99.6,99.59016393442623,99.59432048681542,66000.0,54264.0
