learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.003227,5.676825013425615E-13,100.0,48.0,-4.79645304312778,-18.181818181818198,-13.043478260869579,100.0,680.0
200.0,0.008879,1.5619624820020463E-12,200.0,48.5,-3.061837102261353,-0.980392156862746,-19.767441860465105,200.0,680.0
300.0,0.011166,1.964283486207326E-12,300.0,48.333333333333336,-4.278794402583411,2.5157232704402572,-12.318840579710152,300.0,680.0
400.0,0.013419,2.3606233298778534E-12,400.0,45.75,-8.499999999999996,-0.46296296296296335,-18.57923497267759,400.0,680.0
500.0,0.015254,2.683430082268185E-12,500.0,46.800000000000004,-7.4053137365743344,-2.307692307692299,-18.22222222222223,500.0,680.0
600.0,0.01697,2.985302772786882E-12,600.0,45.666666666666664,-9.143258897184369,-7.59075907590759,-21.189591078066908,600.0,680.0
700.0,0.018864,3.318488597869873E-12,700.0,44.857142857142854,-10.570942185556227,-9.659090909090914,-24.115755627009648,700.0,680.0
800.0,0.020283,3.5681140919526415E-12,800.0,45.0,-10.41197468052671,-7.579462102689488,-23.94366197183099,800.0,680.0
900.0,0.021644,3.807536429829067E-12,900.0,45.88888888888889,-9.026596221008342,-4.282655246252672,-21.144278606965177,900.0,680.0
1000.0,0.023232,4.0868918100992836E-12,1000.0,46.400000000000006,-8.105055524854079,-4.077669902912614,-18.84700665188471,1000.0,680.0
1100.0,0.02439,4.2906031012535095E-12,1100.0,45.800000000000004,-9.344738540994184,-4.633204633204627,-20.177383592017744,1100.0,680.0
1200.0,0.025541,4.493082977003522E-12,1200.0,46.2,-7.936762699622821,-6.324110671936753,-17.46724890829695,1200.0,680.0
1300.0,0.026734,4.7029513451788164E-12,1300.0,46.300000000000004,-7.904995378370773,-7.831325301204815,-18.5430463576159,1300.0,680.0
1400.0,0.027916,4.9108846320046325E-12,1400.0,47.599999999999994,-6.193255512321667,-6.28803245436106,-14.912280701754401,1400.0,680.0
1500.0,0.029107,5.120401167207294E-12,1500.0,47.4,-5.558052915489351,-5.410821643286578,-13.118279569892485,1500.0,680.0
1600.0,0.030264,5.3239365418752035E-12,1600.0,48.5,-3.956398869600336,-1.1787819253438125,-9.808102345415788,1600.0,680.0
1700.0,0.032363,5.693185246653027E-12,1700.0,48.9,-2.200000000000002,0.19531250000000017,-7.127882599580719,1700.0,680.0
1800.0,0.03317,5.835149851110247E-12,1800.0,49.6,-1.198316574035398,-0.39840637450199234,-6.1052631578947425,1800.0,680.0
1900.0,0.033938,5.970253712601132E-12,1900.0,48.6,-1.467528416830185,-4.259634888438138,-8.89830508474577,1900.0,680.0
2000.0,0.034853,6.131217297580507E-12,2000.0,47.599999999999994,-4.100445009535928,-6.072874493927131,-9.853249475890994,2000.0,680.0
2100.0,0.035617,6.265617493126127E-12,2100.0,47.699999999999996,-3.976143141153085,-3.976143141153085,-9.185803757828818,2100.0,680.0
2200.0,0.036388,6.4012491040759614E-12,2200.0,47.9,-3.8883349950149473,-2.357563850687625,-6.9815195071868645,2200.0,680.0
2300.0,0.037356,6.571536262830098E-12,2300.0,47.8,-3.9323046291687502,-0.5780346820809253,-7.851239669421495,2300.0,680.0
2400.0,0.038107,6.703649544053607E-12,2400.0,47.099999999999994,-5.131364521642357,-5.378486055776897,-9.072164948453617,2400.0,680.0
2500.0,0.038848,6.834003660413953E-12,2500.0,47.5,-4.866609672496583,-5.000000000000004,-7.802874743326496,2500.0,680.0
2600.0,0.039522,6.952571372191111E-12,2600.0,47.9,-4.59915035776524,-3.373015873015876,-7.86749482401657,2600.0,680.0
2700.0,0.040292,7.088027066654629E-12,2700.0,49.4,-3.5713700895708174,-2.2222222222222245,-6.7510548523206815,2700.0,680.0
2800.0,0.040984,7.209761275185479E-12,2800.0,49.2,-3.7107205853531,-1.6000000000000014,-5.613305613305618,2800.0,680.0
2900.0,0.041615,7.320764578051038E-12,2900.0,49.6,-3.481835242135181,0.1980198019801982,-2.85714285714286,2900.0,680.0
3000.0,0.042312,7.44337836901347E-12,3000.0,51.0,-1.15606936416186,2.390438247011954,-1.871101871101873,3000.0,680.0
3100.0,0.042934,7.552798423502181E-12,3100.0,51.300000000000004,-0.6090254766016772,1.6161616161616175,0.0,3100.0,680.0
3200.0,0.043619,7.673301216628817E-12,3200.0,50.8,-0.7201903038392452,-0.613496932515338,-2.0746887966805,3200.0,680.0
3300.0,0.044298,7.792748510837555E-12,3300.0,51.0,-0.6759672083992553,-2.5104602510460277,-0.40983606557377084,3300.0,680.0
3400.0,0.044878,7.894780072900984E-12,3400.0,51.9,0.0,3.0241935483870996,1.0288065843621408,3400.0,680.0
3500.0,0.045477,8.000154048204422E-12,3500.0,50.9,0.0,0.8080808080808087,-0.20408163265306142,3500.0,680.0
3600.0,0.046145,8.117666261063682E-12,3600.0,50.5,0.0,-0.20242914979757104,0.0,3600.0,680.0
3700.0,0.046738,8.221984737449221E-12,3700.0,49.4,0.0,-1.6064257028112465,-2.8455284552845557,3700.0,680.0
3800.0,0.047289,8.318914721409478E-12,3800.0,48.6,0.0,-3.838383838383842,-5.761316872427988,3800.0,680.0
3900.0,0.047839,8.41566878888342E-12,3900.0,49.5,0.0,-2.6422764227642297,-3.2719836400818028,3900.0,680.0
4000.0,0.048458,8.524561093913183E-12,4000.0,49.3,0.0,-2.0120724346076475,-2.0120724346076475,4000.0,680.0
4100.0,0.04901,8.621666994359757E-12,4100.0,49.9,0.0,-0.4008016032064131,-1.2121212121212133,4100.0,680.0
4200.0,0.04956,8.718421061833699E-12,4200.0,49.3,0.0,-0.19762845849802388,-5.405405405405411,4200.0,680.0
4300.0,0.05014,8.820452623897128E-12,4300.0,49.3,0.0,0.5882352941176475,-5.405405405405411,4300.0,680.0
4400.0,0.050668,8.913336528672111E-12,4400.0,49.2,0.0,0.0,-4.52674897119342,4400.0,680.0
4500.0,0.0512,9.00692409939236E-12,4500.0,50.2,0.0,2.9239766081871372,-3.5343035343035374,4500.0,680.0
4600.0,0.051785,9.10983524388737E-12,4600.0,50.0,0.0,2.152641878669278,-5.042016806722694,4600.0,680.0
4700.0,0.052341,9.207644810279209E-12,4700.0,49.3,0.0,1.7441860465116292,-6.962025316455703,4700.0,680.0
4800.0,0.05286,9.298945466677347E-12,4800.0,49.9,0.0,1.5717092337917498,-4.3750000000000036,4800.0,680.0
4900.0,0.053395,9.393060786856545E-12,4900.0,50.7,0.0,2.5691699604743103,-4.8936170212766,4900.0,680.0
5000.0,0.053999,9.499314344591565E-12,5000.0,50.0,0.0,0.5964214711729627,-6.609808102345421,5000.0,680.0
5100.0,0.054507,9.588679919640224E-12,5100.0,49.8,0.0,1.1811023622047254,-8.658008658008667,5100.0,680.0
5200.0,0.05503,9.680684241983626E-12,5200.0,50.9,0.0,1.9960079840319378,-4.914529914529919,5200.0,680.0
5300.0,0.055575,9.776558727025986E-12,5300.0,50.4,0.0,0.0,-4.862579281183937,5300.0,680.0
5400.0,0.056075,9.864516970184114E-12,5400.0,50.8,0.0,-0.40816326530612285,-6.034482758620696,5400.0,680.0
5500.0,0.056589,9.954938044150669E-12,5500.0,50.5,0.0,-1.226993865030676,-7.1428571428571495,5500.0,680.0
5600.0,0.057133,1.0050636612706713E-11,5600.0,50.2,0.0,-2.469135802469138,-6.6381156316916545,5600.0,680.0
5700.0,0.05763,1.0138067106405892E-11,5700.0,51.0,0.0,-0.20449897750511267,-2.7253668763102747,5700.0,680.0
5800.0,0.058138,1.022743268145455E-11,5800.0,50.4,0.0,0.8000000000000007,-2.4793388429752086,5800.0,680.0
5900.0,0.058868,1.0355851716465418E-11,5900.0,48.6,0.0,0.0,-7.08333333333334,5900.0,680.0
6000.0,0.059343,1.043941204746564E-11,6000.0,49.0,0.0,2.111324376199618,-6.694560669456074,6000.0,680.0
6100.0,0.059905,1.0538277112775375E-11,6100.0,48.8,0.0,0.7751937984496131,-6.444906444906451,6100.0,680.0
6200.0,0.060384,1.0622541109720863E-11,6200.0,48.699999999999996,0.0,1.7241379310344842,-4.0567951318458455,6200.0,680.0
6300.0,0.060878,1.0709443853961093E-11,6300.0,49.1,0.0,3.7807183364839356,-4.517453798767971,6300.0,680.0
6400.0,0.06132,1.0787198940912879E-11,6400.0,48.6,0.0,3.2015065913371026,-3.838383838383842,6400.0,680.0
6500.0,0.065616,1.154293616612752E-11,6500.0,48.3,0.0,2.268431001890361,-5.081300813008135,6500.0,680.0
6600.0,0.066196,1.1644967728190948E-11,6600.0,48.5,0.0,2.2770398481973455,-4.887983706720982,6600.0,680.0
6700.0,0.066634,1.1722019149197468E-11,6700.0,49.2,0.0,4.331450094161962,-1.3972055888223565,6700.0,680.0
6800.0,0.067077,1.179995015263557E-11,6800.0,49.5,0.0,3.0710172744721715,-2.020202020202022,6800.0,680.0
6900.0,0.06759,1.189019531011581E-11,6900.0,50.2,0.0,2.1611001964636563,0.20040080160320656,6900.0,680.0
7000.0,0.068096,1.1979209052191836E-11,7000.0,49.9,0.0,0.0,-2.2448979591836755,7000.0,680.0
7100.0,0.068584,1.206505629751417E-11,7100.0,50.1,0.0,-0.6048387096774198,-1.6293279022403275,7100.0,680.0
7200.0,0.069086,1.2153366373644931E-11,7200.0,50.0,0.0,-2.2494887525562395,-3.5196687370600444,7200.0,680.0
7300.0,0.069608,1.2245194779502018E-11,7300.0,50.6,0.0,-0.8163265306122457,-4.0000000000000036,7300.0,680.0
7400.0,0.070064,1.2325412697262232E-11,7400.0,51.4,0.0,1.6194331983805683,-4.516129032258069,7400.0,680.0
7500.0,0.070483,1.2399121705028744E-11,7500.0,52.0,0.0,4.19161676646707,-3.2258064516129066,7500.0,680.0
7600.0,0.070949,1.2481098787652119E-11,7600.0,51.9,0.0,4.183266932270921,-2.340425531914896,7600.0,680.0
7700.0,0.071383,1.2557446542713375E-11,7700.0,52.1,0.0,0.828157349896481,-5.043859649122812,7700.0,680.0
7800.0,0.071806,1.2631859216425152E-11,7800.0,51.800000000000004,0.0,2.0325203252032535,-4.103671706263503,7800.0,680.0
7900.0,0.072277,1.271471588148011E-11,7900.0,50.9,0.0,0.6072874493927131,-3.8054968287526463,7900.0,680.0
8000.0,0.072696,1.2788424889246622E-11,8000.0,51.2,0.0,2.5948103792415194,-1.2448132780082999,8000.0,680.0
8100.0,0.073113,1.2861782064040502E-11,8100.0,51.300000000000004,0.0,3.9447731755424096,-1.03734439834025,8100.0,680.0
8200.0,0.073578,1.2943583230177562E-11,8200.0,51.0,0.0,4.669260700389109,-0.8230452674897127,8200.0,680.0
8300.0,0.073992,1.3016412655512493E-11,8300.0,51.1,0.0,2.976190476190479,0.0,8300.0,680.0
8400.0,0.074413,1.3090473496251636E-11,8400.0,49.7,0.0,0.19841269841269857,-0.6000000000000005,8400.0,680.0
8500.0,0.07483,1.3163830671045516E-11,8500.0,49.3,0.0,-2.2177419354838728,-0.996015936254981,8500.0,680.0
8600.0,0.075286,1.324404858880573E-11,8600.0,49.7,0.0,-0.6000000000000005,-0.6000000000000005,8600.0,680.0
8700.0,0.075697,1.3316350264681712E-11,8700.0,49.0,0.0,-0.19646365422396872,-0.19646365422396872,8700.0,680.0
8800.0,0.076112,1.3389355606502958E-11,8800.0,48.699999999999996,0.0,-1.3833992094861671,-4.268292682926833,8800.0,680.0
8900.0,0.076558,1.3467814359400008E-11,8900.0,49.9,0.0,-0.20000000000000018,-2.036659877800409,8900.0,680.0
