learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.974244,1.2829722985625266E-8,100.0,98.0,96.0015993602559,95.45454545454545,95.65217391304347,20100.0,50904.0
200.0,1.007896,1.3272882848978042E-8,200.0,99.0,97.9903536977492,98.0392156862745,97.67441860465115,20200.0,50904.0
300.0,1.029633,1.3559135254472493E-8,300.0,99.33333333333333,98.6652429257875,98.74213836477986,98.55072463768116,20300.0,50904.0
400.0,1.051347,1.3845084775239228E-8,400.0,99.5,99.0,99.07407407407405,98.90710382513662,20400.0,50904.0
500.0,1.07047,1.4096913672983645E-8,500.0,99.6,99.19955174897943,99.23076923076923,99.1111111111111,20500.0,50904.0
600.0,1.085945,1.4300702419131994E-8,600.0,99.5,98.999799959992,99.00990099009901,98.88475836431226,20600.0,50904.0
700.0,1.104919,1.4550569150596857E-8,700.0,99.28571428571429,98.57126528746143,98.57954545454545,98.39228295819936,20700.0,50904.0
800.0,1.12398,1.480158157646656E-8,800.0,98.625,97.24938111074991,97.31051344743275,96.90140845070422,20800.0,50904.0
900.0,1.141013,1.5025887470692396E-8,900.0,98.44444444444444,96.88722874421914,97.00214132762312,96.51741293532339,20900.0,50904.0
1000.0,1.161813,1.5299800615757702E-8,1000.0,98.1,96.19744468282686,96.31067961165049,95.78713968957871,21000.0,50904.0
1100.0,1.180905,1.555122127756476E-8,1100.0,98.3,96.5982855359101,96.71814671814671,96.23059866962306,21100.0,50904.0
1200.0,1.200623,1.581088567152619E-8,1200.0,98.1,96.19942231219144,96.24505928853755,95.85152838427948,21200.0,50904.0
1300.0,1.221262,1.6082678623497484E-8,1300.0,97.8,95.59889092051196,95.58232931726907,95.14348785871964,21300.0,50904.0
1400.0,1.240353,1.6334086116403338E-8,1400.0,97.7,95.39602216314896,95.33468559837728,94.95614035087718,21400.0,50904.0
