learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.371374,2.0054745765195954E-8,100.0,98.0,96.0015993602559,95.45454545454545,95.65217391304347,20100.0,56528.0
200.0,1.412207,2.0651880780027973E-8,200.0,99.0,97.9903536977492,98.0392156862745,97.67441860465115,20200.0,56528.0
300.0,1.438904,2.1042293277051714E-8,300.0,99.33333333333333,98.6652429257875,98.74213836477986,98.55072463768116,20300.0,56528.0
400.0,1.463283,2.1398807726800442E-8,400.0,99.5,99.0,99.07407407407405,98.90710382513662,20400.0,56528.0
500.0,1.482213,2.1675636904935042E-8,500.0,99.6,99.19955174897943,99.23076923076923,99.1111111111111,20500.0,56528.0
600.0,1.497777,2.190324225773414E-8,600.0,99.5,98.999799959992,99.00990099009901,98.88475836431226,20600.0,56528.0
700.0,1.515947,2.216895732200808E-8,700.0,99.14285714285714,98.28549034975997,98.29545454545455,98.07073954983923,20700.0,56528.0
800.0,1.535704,2.2457880410883162E-8,800.0,98.625,97.24927793545804,97.31051344743275,96.90140845070422,20800.0,56528.0
900.0,1.552085,2.269743343608247E-8,900.0,98.11111111111111,96.21964598096481,96.3597430406852,95.77114427860698,20900.0,56528.0
1000.0,1.5685,2.2937483671638702E-8,1000.0,97.8,95.59642429652878,95.72815533980582,95.1219512195122,21000.0,56528.0
1100.0,1.583848,2.316193027628793E-8,1100.0,97.89999999999999,95.79727663525965,95.94594594594594,95.34368070953437,21100.0,56528.0
1200.0,1.59909,2.3384826754530274E-8,1200.0,97.5,94.99899979995999,95.0592885375494,94.5414847161572,21200.0,56528.0
1300.0,1.614052,2.3603628559245008E-8,1300.0,97.2,94.39818501194387,94.37751004016064,93.81898454746135,21300.0,56528.0
1400.0,1.629476,2.38291865752803E-8,1400.0,97.0,93.9934648898001,93.91480730223122,93.42105263157893,21400.0,56528.0
1500.0,1.645441,2.40626560855243E-8,1500.0,96.8,93.5984636312715,93.58717434869739,93.11827956989247,21500.0,56528.0
1600.0,1.661606,2.4299050362573734E-8,1600.0,96.89999999999999,93.79602945885365,93.90962671905697,93.39019189765457,21600.0,56528.0
1700.0,1.679376,2.4558915893236802E-8,1700.0,96.89999999999999,93.8,93.9453125,93.50104821802935,21700.0,56528.0
1800.0,1.694944,2.478657974137201E-8,1800.0,97.1,94.19874692933674,94.22310756972111,93.89473684210526,21800.0,56528.0
1900.0,1.709887,2.5005103693240227E-8,1900.0,97.5,95.00195923198106,94.9290060851927,94.70338983050847,21900.0,56528.0
2000.0,1.724164,2.5213888171646337E-8,2000.0,97.89999999999999,95.80087341832898,95.74898785425101,95.59748427672956,22000.0,56528.0
2100.0,1.738526,2.542391567594476E-8,2100.0,97.7,95.40095660102699,95.42743538767395,95.1983298538622,22100.0,56528.0
2200.0,1.752351,2.5626090181370582E-8,2200.0,98.1,96.20039515890348,96.2671905697446,96.09856262833675,22200.0,56528.0
2300.0,1.766339,2.5830648371742837E-8,2300.0,98.3,96.60048952950775,96.72447013487475,96.48760330578511,22300.0,56528.0
2400.0,1.78043,2.603671281701989E-8,2400.0,98.4,96.80057589633866,96.81274900398405,96.70103092783505,22400.0,56528.0
2500.0,1.796296,2.62687345676952E-8,2500.0,98.6,97.20012319457943,97.2,97.1252566735113,22500.0,56528.0
2600.0,1.811323,2.6488486921621697E-8,2600.0,98.3,96.59934707463833,96.62698412698413,96.48033126293996,22600.0,56528.0
2700.0,1.826341,2.6708107661041953E-8,2700.0,98.3,96.59239422390776,96.56565656565657,96.41350210970464,22700.0,56528.0
2800.0,1.841659,2.6932115550670363E-8,2800.0,98.3,96.5936778661195,96.6,96.46569646569645,22800.0,56528.0
2900.0,1.857042,2.715707398951054E-8,2900.0,98.2,96.39094849883507,96.43564356435644,96.3265306122449,22900.0,56528.0
3000.0,1.871636,2.7370494223303268E-8,3000.0,98.2,96.39018129311727,96.41434262948206,96.25779625779626,23000.0,56528.0
3100.0,1.886136,2.758253981669744E-8,3100.0,98.5,96.99328902109508,96.96969696969697,96.91991786447637,23100.0,56528.0
3200.0,1.900209,2.7788341032962006E-8,3200.0,98.3,96.59504238170776,96.52351738241308,96.47302904564316,23200.0,56528.0
3300.0,1.917639,2.804323446005583E-8,3300.0,98.1,96.19268996473228,96.02510460251045,96.10655737704917,23300.0,56528.0
3400.0,1.933386,2.8273515974481902E-8,3400.0,97.89999999999999,95.78783526825472,95.76612903225806,95.679012345679,23400.0,56528.0
3500.0,1.949371,2.8507277961406444E-8,3500.0,97.8,95.59540159926964,95.55555555555554,95.51020408163265,23500.0,56528.0
3600.0,1.963945,2.872040571851863E-8,3600.0,97.7,95.39760675551287,95.34412955465586,95.35353535353535,23600.0,56528.0
3700.0,1.977886,2.8924276588691608E-8,3700.0,97.8,95.60147790342445,95.58232931726907,95.52845528455283,23700.0,56528.0
3800.0,1.992026,2.9131057601835993E-8,3800.0,98.0,96.00044794982962,95.95959595959596,95.88477366255144,23800.0,56528.0
3900.0,2.005662,2.9330468202630678E-8,3900.0,98.0,96.00087980644258,95.9349593495935,95.91002044989774,23900.0,56528.0
4000.0,2.019972,2.9539735267559685E-8,4000.0,97.8,95.60135478272692,95.57344064386317,95.57344064386317,24000.0,56528.0
4100.0,2.034111,2.9746501656870045E-8,4100.0,97.6,95.2003647722773,95.19038076152304,95.15151515151514,24100.0,56528.0
4200.0,2.049386,2.996988072163529E-8,4200.0,97.3,94.60211597053954,94.66403162055336,94.38669438669439,24200.0,56528.0
4300.0,2.064259,3.01873810051216E-8,4300.0,97.39999999999999,94.80189211127148,94.90196078431372,94.5945945945946,24300.0,56528.0
4400.0,2.0789,3.040148855911361E-8,4400.0,97.7,95.40132441856744,95.47244094488188,95.26748971193415,24400.0,56528.0
4500.0,2.09275,3.0604028660390114E-8,4500.0,97.8,95.59936630874846,95.71150097465888,95.42619542619542,24500.0,56528.0
4600.0,2.10699,3.0812272056937216E-8,4600.0,98.2,96.39999999999999,96.4774951076321,96.21848739495798,24600.0,56528.0
4700.0,2.121707,3.1027491022315286E-8,4700.0,98.1,96.2008510093739,96.31782945736434,95.99156118143459,24700.0,56528.0
4800.0,2.135317,3.1226521403425264E-8,4800.0,98.0,96.00027198150526,96.07072691552062,95.83333333333333,24800.0,56528.0
4900.0,2.148363,3.141730394214391E-8,4900.0,98.3,96.59790430905437,96.6403162055336,96.38297872340425,24900.0,56528.0
5000.0,2.162516,3.162427506513065E-8,5000.0,98.5,97.0,97.01789264413519,96.80170575692964,25000.0,56528.0
5100.0,2.177408,3.184205320146348E-8,5100.0,98.5,97.00026397677004,97.04724409448818,96.75324675324674,25100.0,56528.0
5200.0,2.191683,3.205080843220154E-8,5200.0,98.8,97.59818422727582,97.60479041916167,97.43589743589743,25200.0,56528.0
5300.0,2.206031,3.226063120282358E-8,5300.0,98.7,97.39929260758926,97.37903225806451,97.25158562367865,25300.0,56528.0
5400.0,2.220516,3.2472457438707346E-8,5400.0,98.6,97.19802741129755,97.14285714285714,96.98275862068965,25400.0,56528.0
5500.0,2.23479,3.268119804561138E-8,5500.0,98.5,96.99879951980792,96.93251533742331,96.75324675324674,25500.0,56528.0
5600.0,2.249632,3.2898244990242845E-8,5600.0,98.1,96.19942231219144,96.09053497942386,95.93147751605994,25600.0,56528.0
5700.0,2.263835,3.3105947304930946E-8,5700.0,98.3,96.5965965965966,96.52351738241308,96.43605870020964,25700.0,56528.0
5800.0,2.277947,3.331231885072257E-8,5800.0,98.5,96.99918377798761,97.0,96.90082644628099,25800.0,56528.0
5900.0,2.292683,3.352781566894716E-8,5900.0,98.0,96.00089579934095,96.1089494163424,95.83333333333333,25900.0,56528.0
6000.0,2.30678,3.373396785722838E-8,6000.0,97.8,95.60175929628149,95.77735124760076,95.39748953974895,26000.0,56528.0
6100.0,2.320983,3.394167017191648E-8,6100.0,97.89999999999999,95.80141072599606,95.93023255813952,95.63409563409563,26100.0,56528.0
6200.0,2.334882,3.4144926841060315E-8,6200.0,97.89999999999999,95.80130999128271,95.97701149425288,95.74036511156187,26200.0,56528.0
6300.0,2.348234,3.434018427299128E-8,6300.0,98.2,96.40090697144319,96.59735349716446,96.30390143737166,26300.0,56528.0
6400.0,2.362117,3.454320696079068E-8,6400.0,98.1,96.20063829276681,96.42184557438794,96.16161616161617,26400.0,56528.0
6500.0,2.378459,3.478218965646293E-8,6500.0,98.0,96.00027198150526,96.21928166351607,95.9349593495935,26500.0,56528.0
6600.0,2.392504,3.498758140537474E-8,6600.0,98.3,96.60040795104588,96.77419354838709,96.5376782077393,26600.0,56528.0
6700.0,2.4064,3.5190794203016494E-8,6700.0,98.3,96.60097891807159,96.7984934086629,96.6067864271457,26700.0,56528.0
6800.0,2.420725,3.540028062545591E-8,6800.0,98.0,96.00119964010796,96.16122840690979,95.95959595959596,26800.0,56528.0
6900.0,2.433912,3.559312512477239E-8,6900.0,98.3,96.59948312143446,96.66011787819254,96.59318637274549,26900.0,56528.0
7000.0,2.449477,3.5820745101405516E-8,7000.0,98.4,96.80019198848069,96.80638722554889,96.73469387755101,27000.0,56528.0
7100.0,2.463665,3.602822805858321E-8,7100.0,98.3,96.59975518237313,96.57258064516128,96.5376782077393,27100.0,56528.0
7200.0,2.477564,3.6231484727727044E-8,7200.0,98.2,96.39999999999999,96.31901840490798,96.27329192546583,27200.0,56528.0
7300.0,2.491366,3.6433322884970245E-8,7300.0,98.0,95.99750244152351,95.91836734693877,95.78947368421052,27300.0,56528.0
7400.0,2.505723,3.664327727009853E-8,7400.0,98.1,96.19296459857817,96.15384615384615,95.91397849462365,27400.0,56528.0
7500.0,2.519071,3.6838476206693385E-8,7500.0,98.2,96.38902262879152,96.40718562874251,96.12903225806451,27500.0,56528.0
7600.0,2.533531,3.704993684672647E-8,7600.0,98.0,95.98810875434788,96.01593625498008,95.74468085106382,27600.0,56528.0
7700.0,2.547678,3.7256820226709046E-8,7700.0,98.0,95.9861763914923,95.8592132505176,95.6140350877193,27700.0,56528.0
7800.0,2.562601,3.747505170189672E-8,7800.0,98.2,96.39064455067535,96.34146341463415,96.11231101511879,27800.0,56528.0
7900.0,2.57798,3.7699951645400785E-8,7900.0,98.1,96.19616573506093,96.15384615384615,95.9830866807611,27900.0,56528.0
8000.0,2.592052,3.7905738237831325E-8,8000.0,98.2,96.39480852427495,96.40718562874251,96.26556016597509,28000.0,56528.0
