learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,4.071932,3.148521223250363E-7,100.0,97.0,93.93203883495144,93.87755102040816,92.85714285714285,20100.0,298888.0
200.0,4.197103,3.2463946483822337E-7,200.0,96.5,92.98315958299919,92.39130434782608,92.3076923076923,20200.0,302248.0
300.0,4.271812,3.3048109406398405E-7,300.0,96.66666666666667,93.3368869936034,93.10344827586206,93.00699300699301,20300.0,302248.0
400.0,4.354178,3.36735630693535E-7,400.0,97.25,94.50192432648574,94.44444444444446,94.0217391304348,20400.0,293528.0
500.0,4.410273,3.4099525520164105E-7,500.0,97.6,95.19084336576842,95.2755905511811,94.75982532751091,20500.0,293528.0
600.0,4.465635,3.4519921869246496E-7,600.0,97.83333333333334,95.66464350030014,95.68106312292359,95.40636042402828,20600.0,293528.0
700.0,4.522894,3.4959700408495136E-7,700.0,98.14285714285714,96.28625997812567,96.24277456647398,96.04863221884499,20700.0,296888.0
800.0,4.575465,3.5363472699084216E-7,800.0,98.25,96.49859943977592,96.53465346534654,96.25668449197862,20800.0,296888.0
900.0,4.630349,3.5785010018075507E-7,900.0,98.22222222222223,96.44388249007251,96.5217391304348,96.24413145539906,20900.0,296888.0
1000.0,4.6854,3.6207829982870156E-7,1000.0,98.2,96.39999999999999,96.4774951076321,96.19450317124736,21000.0,296888.0
