learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.40022,5.624140716261334E-9,100.0,98.0,95.94320486815415,95.91836734693877,95.23809523809523,20100.0,54320.0
200.0,0.438696,6.164829432964325E-9,200.0,97.0,93.98073836276083,93.4782608695652,93.4065934065934,20200.0,54320.0
300.0,0.460207,6.467115403049522E-9,300.0,97.0,94.00159957344708,93.79310344827586,93.70629370629369,20300.0,54320.0
400.0,0.483045,6.78804920365413E-9,400.0,97.0,94.00239904038385,93.93939393939394,93.4782608695652,20400.0,54320.0
500.0,0.498711,7.008197593192259E-9,500.0,97.39999999999999,94.78949562317632,94.88188976377953,94.32314410480349,20500.0,54320.0
600.0,0.514756,7.2336719267898126E-9,600.0,97.5,94.99733191035217,95.01661129568106,94.69964664310953,20600.0,54320.0
700.0,0.528311,7.42415522949563E-9,700.0,97.57142857142857,95.1438878278896,95.08670520231215,94.83282674772038,20700.0,54320.0
800.0,0.540448,7.594711913002861E-9,800.0,97.75,95.49774887443722,95.54455445544555,95.18716577540107,20800.0,54320.0
900.0,0.552791,7.768163436816798E-9,900.0,97.77777777777777,95.55467746715401,95.65217391304348,95.30516431924883,20900.0,54320.0
1000.0,0.566254,7.957353898220592E-9,1000.0,97.8,95.6,95.69471624266144,95.34883720930232,21000.0,54320.0
