learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.886035,1.1668107379227877E-8,100.0,97.0,93.93203883495144,93.87755102040816,92.85714285714285,20100.0,50904.0
200.0,0.921185,1.2130994256585837E-8,200.0,96.5,92.98315958299919,92.39130434782608,92.3076923076923,20200.0,50904.0
300.0,0.940626,1.2387010864913464E-8,300.0,96.66666666666667,93.3368869936034,93.10344827586206,93.00699300699301,20300.0,50904.0
400.0,0.958872,1.262729063630104E-8,400.0,97.25,94.50192432648574,94.44444444444446,94.0217391304348,20400.0,50904.0
500.0,0.973285,1.2817094009369612E-8,500.0,97.6,95.19084336576842,95.2755905511811,94.75982532751091,20500.0,50904.0
600.0,0.984606,1.2966179139912129E-8,600.0,97.83333333333334,95.66464350030014,95.68106312292359,95.40636042402828,20600.0,50904.0
700.0,1.00008,1.3169954717159271E-8,700.0,98.14285714285714,96.28625997812567,96.24277456647398,96.04863221884499,20700.0,50904.0
800.0,1.01306,1.3340887054800987E-8,800.0,98.25,96.49859943977592,96.53465346534654,96.25668449197862,20800.0,50904.0
900.0,1.024157,1.348702235147357E-8,900.0,98.22222222222223,96.44388249007251,96.5217391304348,96.24413145539906,20900.0,50904.0
1000.0,1.036044,1.3643561080098152E-8,1000.0,98.2,96.39999999999999,96.4774951076321,96.19450317124736,21000.0,50904.0
