learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.090965,1.4976216997537349E-9,100.0,96.0,91.94847020933976,91.66666666666666,91.1111111111111,100.0,63640.0,10.0,598.3,29.758472183004717,771.2,268.6645161204252,5.2,2.2010098692292237,3.1,1.1005049346146119,3.1,1.1005049346146119,1.9000000000000004,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.134745,2.2564581595361233E-9,200.0,97.5,94.94438827098078,94.84536082474226,94.3820224719101,200.0,67000.0,10.0,1204.3,49.139370954233605,968.0,378.5727583085362,6.8,3.0477678535099892,3.9,1.5238839267549948,3.9,1.5238839267549948,2.5,0.8498365855987974,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.156579,2.634905744343996E-9,300.0,98.0,95.98554797270172,95.9731543624161,95.71428571428571,300.0,67000.0,10.0,1803.6999999999998,59.065030075144975,1071.2000000000003,566.4950328310233,7.600000000000001,4.623610902506587,4.300000000000001,2.3118054512532935,4.300000000000001,2.3118054512532935,2.5999999999999996,1.07496769977314,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.174633,2.9635279439389707E-9,400.0,98.5,96.99932484809082,97.01492537313435,96.93877551020408,400.0,70360.0,10.0,2399.8,72.99741243511455,1171.9999999999998,679.7358964251403,8.4,5.501514942874069,4.7,2.7507574714370344,4.7,2.7507574714370344,2.8,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.19134,3.267631803949674E-9,500.0,98.8,97.59938544267332,97.68339768339767,97.5,500.0,70360.0,10.0,3012.9,85.52511002298941,1392.0,1038.8848722441664,10.200000000000001,8.443274772793368,5.6000000000000005,4.221637386396684,5.6000000000000005,4.221637386396684,3.0,1.632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.209257,3.593760304566887E-9,600.0,98.83333333333333,97.66651110074004,97.74193548387096,97.57785467128026,600.0,70360.0,10.0,3614.7000000000003,79.43557837084782,1609.6,1391.3858159722947,12.0,11.362707032706208,6.5,5.681353516353104,6.5,5.681353516353104,3.1,1.7919573407620817,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.229774,3.985048561460442E-9,700.0,99.0,97.99996734640565,98.02816901408451,97.92899408284023,700.0,73720.0,10.0,4226.2,78.45706539956173,1733.6000000000001,1590.2192161949106,13.0,12.96148139681572,7.0,6.48074069840786,7.0,6.48074069840786,3.2,1.9321835661585918,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.253422,4.436049424111843E-9,800.0,99.125,98.2498687401555,98.26302729528537,98.17708333333333,800.0,73720.0,10.0,4825.799999999999,87.87592262831609,1882.3999999999999,1777.665085317129,14.2,14.459137825841022,7.6,7.229568912920511,7.6,7.229568912920511,3.4000000000000004,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.275159,4.850604809406731E-9,900.0,99.22222222222223,98.44401414712218,98.44444444444444,98.37209302325581,900.0,73720.0,10.0,5420.1,79.25689594953582,1907.2,1814.9294935800306,14.399999999999999,14.758801517136215,7.699999999999999,7.379400758568107,7.699999999999999,7.379400758568107,3.4000000000000004,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.296364,5.2550142010053E-9,1000.0,99.3,98.59898005748184,98.56850715746421,98.52320675105484,1000.0,73720.0,10.0,6025.099999999999,82.54486995298713,2104.7999999999997,2133.7281301359208,16.0,17.339742404853272,8.5,8.669871202426636,8.5,8.669871202426636,3.4000000000000004,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
