learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.092768,1.2235250075658162E-9,100.0,97.0,93.86252045826512,92.68292682926828,92.5,10100.0,4328.0
200.0,1.113272,1.246482448445426E-9,200.0,98.5,96.99939987997598,96.66666666666667,96.77419354838709,10200.0,4328.0
300.0,1.12666,1.2614724122815661E-9,300.0,99.0,97.99500980217431,97.77777777777777,97.74436090225564,10300.0,4328.0
400.0,1.140403,1.2768598542445235E-9,400.0,99.0,97.99498746867168,97.8021978021978,97.79005524861878,10400.0,4328.0
500.0,1.152062,1.2899139316545592E-9,500.0,99.2,98.39689639141378,98.3050847457627,98.26086956521739,10500.0,4328.0
600.0,1.163042,1.3022077621685133E-9,600.0,99.16666666666667,98.33129380353766,98.2332155477032,98.21428571428572,10600.0,4328.0
700.0,1.173765,1.3142138409117856E-9,700.0,99.0,97.99911797853747,97.91666666666666,97.89156626506023,10700.0,4328.0
800.0,1.185857,1.3277527296708688E-9,800.0,99.0,97.99959991998399,97.92746113989638,97.911227154047,10800.0,4328.0
900.0,1.200229,1.3438444356951448E-9,900.0,99.11111111111111,98.22211686618468,98.20224719101125,98.1609195402299,10900.0,4328.0
1000.0,1.212045,1.3570742992063362E-9,1000.0,99.0,98.0,97.97979797979798,97.95501022494886,11000.0,4328.0
1100.0,1.243448,1.3922348784075841E-9,1100.0,98.6,97.19882350587247,97.20558882235528,97.2,11100.0,4328.0
1200.0,1.261746,1.4127223566174505E-9,1200.0,98.3,96.60010879651851,96.62027833001989,96.54471544715447,11200.0,4328.0
1300.0,1.278273,1.4312269228200115E-9,1300.0,98.3,96.59847611730055,96.63366336633663,96.579476861167,11300.0,4328.0
1400.0,1.295852,1.450909367865986E-9,1400.0,98.2,96.39907816400999,96.42857142857143,96.42857142857143,11400.0,4328.0
1500.0,1.314226,1.4714819399846923E-9,1500.0,97.89999999999999,95.79865556978233,95.8498023715415,95.84158415841584,11500.0,4328.0
1600.0,1.330793,1.4900312924550638E-9,1600.0,98.0,95.99961596313246,96.00798403193612,96.06299212598425,11600.0,4328.0
1700.0,1.348341,1.5096790281434853E-9,1700.0,98.2,96.39779545081589,96.41434262948206,96.37826961770624,11700.0,4328.0
1800.0,1.364244,1.5274849285682041E-9,1800.0,98.1,96.19908778106745,96.21513944223106,96.19238476953907,11800.0,4328.0
1900.0,1.3794,1.544454445441564E-9,1900.0,98.0,95.99895972952967,95.9349593495935,95.95959595959596,11900.0,4328.0
2000.0,1.393819,1.560598775330517E-9,2000.0,97.89999999999999,95.8,95.71428571428571,95.71428571428571,12000.0,4328.0
2100.0,1.419585,1.5894478497405846E-9,2100.0,98.4,96.7998079884793,96.74134419551935,96.61733615221986,12100.0,4328.0
2200.0,1.432088,1.6034469174014198E-9,2200.0,98.6,97.19959674193083,97.1311475409836,97.0954356846473,12200.0,4328.0
2300.0,1.444463,1.6173026690052616E-9,2300.0,98.6,97.1999887999552,97.1943887775551,97.11934156378601,12300.0,4328.0
2400.0,1.456115,1.6303489088184306E-9,2400.0,98.8,97.6,97.62376237623762,97.5051975051975,12400.0,4328.0
2500.0,1.468658,1.644392762747076E-9,2500.0,99.0,97.99993599795194,97.99196787148594,97.88135593220339,12500.0,4328.0
2600.0,1.480507,1.657659574929211E-9,2600.0,99.0,97.99993599795194,98.01587301587301,97.83080260303687,12600.0,4328.0
2700.0,1.492026,1.6705569004019102E-9,2700.0,99.0,97.99865509622467,97.9633401221996,97.85867237687366,12700.0,4328.0
2800.0,1.504322,1.6843241991268264E-9,2800.0,99.2,98.39990399423965,98.3739837398374,98.28693790149893,12800.0,4328.0
2900.0,1.515568,1.6969158583217197E-9,2900.0,99.3,98.59977596415426,98.56850715746421,98.49462365591398,12900.0,4328.0
3000.0,1.526702,1.709382115966744E-9,3000.0,99.5,99.0,99.0,98.9406779661017,13000.0,4328.0
