learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.451579,1.8956231371189158E-7,100.0,93.0,85.39232053422371,82.9268292682927,82.50000000000001,10100.0,298888.0
200.0,2.561432,1.9815191463463837E-7,200.0,95.5,91.00539676194282,89.99999999999999,90.32258064516128,10200.0,302248.0
300.0,2.616843,2.02484599010398E-7,300.0,97.0,93.96782841823055,93.33333333333333,93.23308270676691,10300.0,302248.0
400.0,2.669586,2.066545137638847E-7,400.0,97.5,94.97739829231541,94.5054945054945,94.47513812154695,10400.0,305608.0
500.0,2.717504,2.104429591529899E-7,500.0,98.0,95.98657912057922,95.76271186440678,95.65217391304347,10500.0,305608.0
600.0,2.76528,2.1422017787893613E-7,600.0,98.16666666666667,96.32434840721766,96.113074204947,96.07142857142857,10600.0,305608.0
700.0,2.810033,2.1779729602444502E-7,700.0,98.0,95.99499783402943,95.83333333333333,95.78313253012047,10700.0,308968.0
800.0,2.856861,2.2154026942327616E-7,800.0,98.0,95.99719803862705,95.85492227979275,95.822454308094,10800.0,308968.0
900.0,2.906386,2.2549881468630496E-7,900.0,98.11111111111111,96.22076651747341,96.17977528089888,96.09195402298852,10900.0,308968.0
1000.0,2.956747,2.2952418163211806E-7,1000.0,98.1,96.2,96.16161616161617,96.11451942740285,11000.0,308968.0
1100.0,3.05013,2.3690017818162834E-7,1100.0,98.3,96.59923822936337,96.6067864271457,96.6,11100.0,305320.0
1200.0,3.118095,2.422891729449232E-7,1200.0,98.4,96.79959034756449,96.81908548707753,96.74796747967478,11200.0,306496.0
1300.0,3.176769,2.4698482873539125E-7,1300.0,98.4,96.79901409634168,96.83168316831683,96.78068410462777,11300.0,309352.0
1400.0,3.237026,2.5181764684824476E-7,1400.0,98.2,96.39942390782525,96.42857142857143,96.42857142857143,11400.0,310024.0
1500.0,3.301609,2.569974250015285E-7,1500.0,97.89999999999999,95.7993278924628,95.8498023715415,95.84158415841584,11500.0,310024.0
1600.0,3.361493,2.6180032723479795E-7,1600.0,98.0,95.99980799078355,96.00798403193612,96.06299212598425,11600.0,310024.0
1700.0,3.425228,2.669231730099353E-7,1700.0,98.3,96.59853056520417,96.61354581673307,96.579476861167,11700.0,310696.0
1800.0,3.480035,2.7132841045243866E-7,1800.0,98.3,96.59959195103413,96.61354581673307,96.59318637274549,11800.0,310696.0
1900.0,3.536691,2.75882265480856E-7,1900.0,98.4,96.79955193727122,96.74796747967478,96.76767676767678,11900.0,310696.0
2000.0,3.590868,2.8023686523859694E-7,2000.0,98.2,96.39999999999999,96.3265306122449,96.3265306122449,12000.0,310696.0
2100.0,3.666345,2.860769999399781E-7,2100.0,97.6,95.19798315292422,95.11201629327903,94.9260042283298,12100.0,299096.0
2200.0,3.721595,2.9037125330832266E-7,2200.0,97.2,94.40214957456337,94.26229508196721,94.1908713692946,12200.0,300440.0
2300.0,3.769778,2.9412460732998114E-7,2300.0,96.89999999999999,93.80054555199142,93.7875751503006,93.62139917695472,12300.0,301112.0
2400.0,3.818078,2.978996706112391E-7,2400.0,97.0,94.00115177885844,94.05940594059405,93.76299376299376,12400.0,302120.0
2500.0,3.868969,3.018772429807318E-7,2500.0,97.1,94.19883976795359,94.17670682730923,93.85593220338983,12500.0,302120.0
2600.0,3.918219,3.0575652384509636E-7,2600.0,97.0,93.99875174036198,94.04761904761905,93.49240780911062,12600.0,304472.0
2700.0,3.96776,3.0965872594258844E-7,2700.0,96.89999999999999,93.7895664716724,93.68635437881873,93.36188436830835,12700.0,304472.0
2800.0,4.021577,3.1390709218051693E-7,2800.0,97.0,94.00203930663574,93.90243902439023,93.57601713062098,12800.0,305144.0
2900.0,4.070011,3.1773051917139024E-7,2900.0,97.0,93.9967582494547,93.86503067484662,93.54838709677419,12900.0,305144.0
3000.0,4.117153,3.214519544276926E-7,3000.0,97.39999999999999,94.8,94.8,94.4915254237288,13000.0,305144.0
