learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.270107,3.783413469791412E-9,100.0,97.0,93.82207578253706,92.68292682926828,92.5,10100.0,54144.0
200.0,0.304396,4.263702630996704E-9,200.0,98.5,97.0,96.66666666666667,96.77419354838709,10200.0,54144.0
300.0,0.325536,4.559812545776367E-9,300.0,99.0,97.9935794542536,97.77777777777777,97.74436090225564,10300.0,54144.0
400.0,0.346494,4.853373169898986E-9,400.0,99.25,98.49586362496868,98.35164835164835,98.3425414364641,10400.0,54144.0
500.0,0.360826,5.0541228055953975E-9,500.0,99.4,98.79746023601848,98.72881355932203,98.69565217391305,10500.0,54144.0
600.0,0.374029,5.239058434963226E-9,600.0,99.16666666666667,98.3308852984377,98.2332155477032,98.21428571428572,10600.0,54144.0
700.0,0.385722,5.402843356132506E-9,700.0,99.14285714285714,98.28458000800529,98.21428571428572,98.19277108433735,10700.0,54144.0
800.0,0.403026,5.645222067832946E-9,800.0,99.0,97.99939981994599,97.92746113989638,97.911227154047,10800.0,54144.0
900.0,0.415668,5.822299718856811E-9,900.0,99.0,97.99970365980145,97.97752808988763,97.93103448275862,10900.0,54144.0
1000.0,0.428112,5.9966039657592765E-9,1000.0,99.0,98.0,97.97979797979798,97.95501022494886,11000.0,54144.0
1100.0,0.445364,6.2382543087005605E-9,1100.0,99.0,97.99938381021354,98.00399201596807,98.0,11100.0,54144.0
1200.0,0.465166,6.514024424056211E-9,1200.0,98.2,96.39976958525345,96.42147117296223,96.34146341463415,91.0,53832.0
1300.0,0.474735,6.647285924603541E-9,1300.0,98.2,96.39868912284071,96.43564356435644,96.37826961770624,191.0,53832.0
1400.0,0.484602,6.784697485466798E-9,1400.0,98.1,96.19933108227048,96.23015873015872,96.23015873015872,291.0,53832.0
1500.0,0.493476,6.908280154069264E-9,1500.0,97.8,95.59920785741433,95.65217391304347,95.64356435643563,391.0,53832.0
1600.0,0.502995,7.040845335771639E-9,1600.0,98.0,95.99980799078355,96.00798403193612,96.06299212598425,491.0,53832.0
1700.0,0.51278,7.177114933729171E-9,1700.0,98.0,95.99812712349379,96.01593625498008,95.97585513078471,591.0,53832.0
1800.0,0.522258,7.309109133978684E-9,1800.0,98.0,95.99943992158902,96.01593625498008,95.99198396793587,691.0,53832.0
1900.0,0.531671,7.440198119729757E-9,1900.0,98.0,95.99927987037667,95.9349593495935,95.95959595959596,791.0,53832.0
2000.0,0.540724,7.56627360979716E-9,2000.0,97.89999999999999,95.8,95.71428571428571,95.71428571428571,891.0,53832.0
2100.0,0.550418,7.701275907456875E-9,2100.0,98.0,95.99943992158902,95.92668024439918,95.77167019027483,991.0,53832.0
2200.0,0.559319,7.825234588235617E-9,2200.0,98.8,97.59988479447014,97.54098360655738,97.5103734439834,1091.0,53832.0
2300.0,0.567298,7.936353149513403E-9,2300.0,98.7,97.4000207998336,97.39478957915831,97.32510288065843,1191.0,53832.0
2400.0,0.575552,8.051301464438437E-9,2400.0,98.7,97.40006239850243,97.42574257425743,97.29729729729729,1291.0,53832.0
2500.0,0.583823,8.166486527770757E-9,2500.0,98.8,97.59992319754231,97.59036144578313,97.45762711864407,1391.0,53832.0
2600.0,0.591425,8.272354844957589E-9,2600.0,98.8,97.59992319754231,97.61904761904762,97.39696312364426,1491.0,53832.0
2700.0,0.599196,8.380576719840367E-9,2700.0,98.8,97.5983861154696,97.5560081466395,97.4304068522484,1591.0,53832.0
2800.0,0.60751,8.496360617379347E-9,2800.0,99.0,97.99987999279956,97.96747967479675,97.85867237687366,1691.0,53832.0
2900.0,0.615322,8.605153473714987E-9,2900.0,99.1,98.19971195391263,98.15950920245399,98.06451612903226,1791.0,53832.0
3000.0,0.622978,8.71177381525437E-9,3000.0,99.3,98.6,98.6,98.51694915254238,1891.0,53832.0
