learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.669993,8.823071625083685E-9,100.0,93.0,85.39232053422371,82.9268292682927,82.50000000000001,10100.0,50904.0
200.0,0.702769,9.254695530980825E-9,200.0,95.5,91.00539676194282,89.99999999999999,90.32258064516128,10200.0,50904.0
300.0,0.722135,9.509724471718073E-9,300.0,97.0,93.96782841823055,93.33333333333333,93.23308270676691,10300.0,50904.0
400.0,0.742085,9.772444050759077E-9,400.0,97.5,94.97739829231541,94.5054945054945,94.47513812154695,10400.0,50904.0
500.0,0.761583,1.0029211286455393E-8,500.0,98.0,95.98657912057922,95.76271186440678,95.65217391304347,10500.0,50904.0
600.0,0.780494,1.0278248377144337E-8,600.0,98.16666666666667,96.32434840721766,96.113074204947,96.07142857142857,10600.0,50904.0
700.0,0.802128,1.0563144385814668E-8,700.0,98.0,95.99499783402943,95.83333333333333,95.78313253012047,10700.0,50904.0
800.0,0.823131,1.0839730817824604E-8,800.0,98.0,95.99719803862705,95.85492227979275,95.822454308094,10800.0,50904.0
900.0,0.841049,1.107569118961692E-8,900.0,98.11111111111111,96.22076651747341,96.17977528089888,96.09195402298852,10900.0,50904.0
1000.0,0.856668,1.1281376257538797E-8,1000.0,98.1,96.2,96.16161616161617,96.11451942740285,11000.0,50904.0
1100.0,0.890709,1.16486396578451E-8,1100.0,97.89999999999999,95.79858832567743,95.80838323353294,95.8,57.0,41704.0
1200.0,0.905834,1.1811821084055636E-8,1200.0,97.6,95.19999999999999,95.2286282306163,95.1219512195122,157.0,41704.0
1300.0,0.920863,1.1973966780222126E-8,1300.0,97.2,94.39827466859792,94.45544554455445,94.36619718309859,257.0,41704.0
1400.0,0.933756,1.2113067482908568E-8,1400.0,96.89999999999999,93.79890860791498,93.84920634920636,93.84920634920636,357.0,41704.0
1500.0,0.947213,1.2258253099603786E-8,1500.0,96.7,93.39867973594718,93.4782608695652,93.46534653465346,457.0,41704.0
1600.0,0.958888,1.2384212977356381E-8,1600.0,96.7,93.39952476578313,93.41317365269461,93.503937007874,557.0,41704.0
1700.0,0.97142,1.251941890352302E-8,1700.0,96.7,93.39572042683658,93.42629482071713,93.36016096579476,657.0,41704.0
1800.0,0.983769,1.2652650469293196E-8,1800.0,96.5,92.99831959670321,93.02788844621513,92.98597194388776,757.0,41704.0
1900.0,0.995619,1.2780498396605253E-8,1900.0,96.5,92.99803945104628,92.88617886178862,92.92929292929293,857.0,41704.0
2000.0,1.006889,1.2902088788234526E-8,2000.0,96.6,93.19999999999999,93.06122448979592,93.06122448979592,957.0,41704.0
2100.0,1.031122,1.3163535102374025E-8,2100.0,96.5,92.99831959670321,92.87169042769857,92.60042283298097,1057.0,41704.0
2200.0,1.047094,1.3335854688452351E-8,2200.0,96.8,93.60061434102326,93.44262295081967,93.3609958506224,1157.0,41704.0
2300.0,1.059371,1.3468309456689491E-8,2300.0,97.1,94.20009279851523,94.18837675350701,94.03292181069959,1257.0,41704.0
2400.0,1.071161,1.3595510052724018E-8,2400.0,97.39999999999999,94.80024958801977,94.85148514851485,94.5945945945946,1357.0,41704.0
2500.0,1.083609,1.3729809715102118E-8,2500.0,97.2,94.39973118709698,94.37751004016064,94.06779661016948,1457.0,41704.0
2600.0,1.094829,1.3850860664000115E-8,2600.0,97.3,94.59969758306464,94.64285714285714,94.14316702819956,1557.0,41704.0
2700.0,1.107266,1.3985041648977333E-8,2700.0,97.5,94.99543583748378,94.90835030549898,94.64668094218415,1657.0,41704.0
2800.0,1.119351,1.411542495712638E-8,2800.0,97.8,95.60008799824004,95.52845528455283,95.28907922912205,1757.0,41704.0
2900.0,1.130463,1.4235310709724825E-8,2900.0,97.89999999999999,95.79899175802193,95.70552147239263,95.48387096774194,1857.0,41704.0
3000.0,1.14221,1.4362047385010455E-8,3000.0,98.0,96.0,96.0,95.76271186440678,1957.0,41704.0
