learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.64028,8.43178406357765E-9,100.0,93.0,85.39232053422371,82.9268292682927,82.50000000000001,10100.0,50904.0
200.0,0.678915,8.940564561635255E-9,200.0,95.5,91.00539676194282,89.99999999999999,90.32258064516128,10200.0,50904.0
300.0,0.700527,9.225170854479073E-9,300.0,97.0,93.96782841823055,93.33333333333333,93.23308270676691,10300.0,50904.0
400.0,0.717998,9.455244727432727E-9,400.0,97.5,94.97739829231541,94.5054945054945,94.47513812154695,10400.0,50904.0
500.0,0.732786,9.649986438453196E-9,500.0,98.0,95.98657912057922,95.76271186440678,95.65217391304347,10500.0,50904.0
600.0,0.745391,9.815980438143014E-9,600.0,98.16666666666667,96.32434840721766,96.113074204947,96.07142857142857,10600.0,50904.0
700.0,0.759813,1.000590233132243E-8,700.0,98.0,95.99499783402943,95.83333333333333,95.78313253012047,10700.0,50904.0
800.0,0.77474,1.0202474519610404E-8,800.0,98.0,95.99719803862705,95.85492227979275,95.822454308094,10800.0,50904.0
900.0,0.787597,1.0371787082403898E-8,900.0,98.11111111111111,96.22076651747341,96.17977528089888,96.09195402298852,10900.0,50904.0
1000.0,0.800295,1.0539005789905787E-8,1000.0,98.1,96.2,96.16161616161617,96.11451942740285,11000.0,50904.0
1100.0,0.817901,1.0770857464522124E-8,1100.0,98.2,96.39909257132797,96.40718562874251,96.39999999999999,11100.0,50904.0
1200.0,0.833945,1.0982139315456153E-8,1200.0,98.2,96.39976958525345,96.42147117296223,96.34146341463415,11200.0,50904.0
1300.0,0.847434,1.1159774623811246E-8,1300.0,98.2,96.39868912284071,96.43564356435644,96.37826961770624,11300.0,50904.0
1400.0,0.861118,1.1339977867901326E-8,1400.0,98.1,96.1992094355626,96.23015873015872,96.23015873015872,11400.0,50904.0
1500.0,0.875617,1.1530913766473532E-8,1500.0,97.89999999999999,95.79899175802193,95.8498023715415,95.84158415841584,11500.0,50904.0
1600.0,0.887651,1.1689388323575259E-8,1600.0,98.0,95.99967997439795,96.00798403193612,96.06299212598425,11600.0,50904.0
1700.0,0.899762,1.1848876886069775E-8,1700.0,98.2,96.39779545081589,96.41434262948206,96.37826961770624,11700.0,50904.0
1800.0,0.911373,1.200178099796176E-8,1800.0,98.2,96.39920782572166,96.41434262948206,96.39278557114228,11800.0,50904.0
1900.0,0.922547,1.2148930300027133E-8,1900.0,98.3,96.59918380411298,96.54471544715447,96.56565656565657,11900.0,50904.0
2000.0,0.934872,1.2311237007379533E-8,2000.0,98.4,96.8,96.73469387755101,96.73469387755101,12000.0,50904.0
2100.0,0.952458,1.2542825303971768E-8,2100.0,97.6,95.19836744493128,95.11201629327903,94.9260042283298,12100.0,50904.0
2200.0,0.964845,1.2705948483198881E-8,2200.0,97.1,94.2020872485905,94.05737704918032,93.98340248962656,12200.0,50904.0
2300.0,0.975969,1.2852439340204001E-8,2300.0,96.7,93.40058074889409,93.38677354709418,93.20987654320987,12300.0,50904.0
2400.0,0.986421,1.2990080695599318E-8,2400.0,96.3,92.60171640179477,92.67326732673267,92.3076923076923,12400.0,50904.0
2500.0,0.996873,1.3127722050994635E-8,2500.0,96.2,92.39817556213491,92.36947791164658,91.94915254237287,12500.0,50904.0
2600.0,1.008403,1.327955948188901E-8,2600.0,95.7,91.39759132557114,91.46825396825396,90.67245119305855,12600.0,50904.0
2700.0,1.019027,1.3419465888291598E-8,2700.0,95.5,90.97878209548857,90.83503054989815,90.36402569593147,12700.0,50904.0
2800.0,1.029973,1.3563612680882215E-8,2800.0,95.5,91.00611584122795,90.85365853658536,90.36402569593147,12800.0,50904.0
2900.0,1.039337,1.3686926271766425E-8,2900.0,95.19999999999999,90.39135221699529,90.18404907975459,89.67741935483869,12900.0,50904.0
3000.0,1.049243,1.3817377407103778E-8,3000.0,95.1,90.19999999999999,90.19999999999999,89.61864406779661,13000.0,50904.0
